Nodes;Mixed OLD;Lin Yen ;Eades;Huang et al.;Crossing Only OLD;Angular Only OLD;Mixed;Crossing Only;Angular Only
11;0.543307086614173;0.543307086614173;0.5703125;0.535433070866142;0.6953125;0.543307086614173;4.85714285714286;5.42857142857143;4.85714285714286
12;0.426573426573427;0.433566433566434;0.444444444444444;0.412587412587413;0.631944444444444;0.426573426573427;4.25;6.75;4.25
13;0.666666666666667;0.69811320754717;0.658385093167702;0.633540372670807;1.22360248447205;0.672955974842767;3.4;5.2;3.4
14;0.550295857988166;0.579881656804734;0.579881656804734;0.526627218934911;0.727810650887574;0.544378698224852;5;8.33333333333333;5
15;1.07303370786517;1.08988764044944;1.11173184357542;1.06145251396648;1.55307262569832;1.03932584269663;4.9;5.6;4.7
16;1.10843373493976;1.10843373493976;1.16167664670659;1.08433734939759;1.73652694610778;1.09638554216867;4.36363636363636;8.45454545454546;4.36363636363636
17;1.16;1.23489932885906;1.24;1.17333333333333;1.73333333333333;1.17333333333333;5.88888888888889;9.66666666666667;5.55555555555556
18;1.61864406779661;1.60169491525424;1.50847457627119;1.49152542372881;2.51694915254237;1.59322033898305;4.38461538461539;8.38461538461539;4.46153846153846
19;2.125;2.05357142857143;2.02678571428571;2;2.84821428571429;2.10714285714286;7.17647058823529;11.1176470588235;7.05882352941176
20;1.54838709677419;1.60215053763441;1.60215053763441;1.47311827956989;2.35483870967742;1.55913978494624;5.5;6.83333333333333;5.5
21;2.75490196078431;2.81372549019608;2.85294117647059;2.69607843137255;3.80392156862745;2.79411764705882;7.34782608695652;10.9565217391304;7.56521739130435
22;2.41463414634146;2.46341463414634;2.39759036144578;2.30487804878049;3.49397590361446;2.4390243902439;6.88235294117647;9.52941176470588;6.94117647058824
23;2.37333333333333;2.48;2.35526315789474;2.26315789473684;5.38157894736842;2.41333333333333;6.78571428571429;20.9285714285714;6.92857142857143
24;1.94520547945205;2.04109589041096;2.02739726027397;1.84931506849315;2.91780821917808;1.98630136986301;7.88888888888889;13.5555555555556;8
25;2.16666666666667;2.13095238095238;2.16279069767442;2.12790697674419;3.84883720930233;2.2289156626506;8.81818181818182;19.5454545454545;8.90909090909091
26;2.40243902439024;2.65853658536585;2.4578313253012;2.32098765432099;3.60240963855422;2.52439024390244;7.22222222222222;10.8888888888889;7.66666666666667
27;2.35869565217391;2.34408602150538;2.18279569892473;2.06451612903226;3.73118279569892;2.39130434782609;6.23529411764706;11.1764705882353;6.41176470588235
28;3.3375;3.2125;2.97530864197531;2.95061728395062;4.90123456790123;3.3875;8.6;16.5714285714286;8.33333333333333
29;3.79710144927536;3.81159420289855;3.56521739130435;3.38235294117647;7.89855072463768;3.82608695652174;8.23809523809524;18.7142857142857;8.14285714285714
30;4.40322580645161;4.25806451612903;3.58064516129032;3.48387096774194;8.75806451612903;4.32258064516129;10.1052631578947;22.3157894736842;9.73684210526316
31;4.31764705882353;4.62352941176471;4.16470588235294;4.03529411764706;7.21176470588235;4.36470588235294;10.047619047619;18.1428571428571;9.76190476190476
32;3.95348837209302;4.0390625;3.68217054263566;3.55038759689922;7.45736434108527;4.17054263565892;7.52380952380952;16.5952380952381;8.02380952380952
33;4.62804878048781;4.71341463414634;4.04819277108434;3.95180722891566;8.13855421686747;4.68292682926829;9.86792452830189;18.6923076923077;9.79245283018868
34;4.0855614973262;4.18716577540107;3.72872340425532;3.54787234042553;6.68085106382979;4.17647058823529;7.85483870967742;13.4838709677419;8.11290322580645
35;6.43298969072165;6.75257731958763;5.9234693877551;5.71428571428571;10.1530612244898;6.70769230769231;10.2934782608696;17.2150537634409;10.6774193548387
36;8.28015564202335;8.45703125;7.52918287937743;7.21789883268483;14.1634241245136;8.36186770428016;10.6091954022989;19.6167664670659;10.7528735632184
37;9.66555183946488;9.80267558528428;8.79;8.49;20.65;9.91304347826087;12.7878787878788;28.7448979591837;13.040404040404
38;10.6185897435897;10.6346153846154;9.24600638977636;9.07987220447284;18.0798722044728;10.6495176848875;13.6186046511628;24.3380952380952;13.6355140186916
39;13.4791666666667;13.4970238095238;11.9556213017751;11.5922619047619;27.9792899408284;13.7916666666667;16.2674418604651;35.2244094488189;16.6240310077519
40;13.8285714285714;13.978417266187;12.3535714285714;11.9749103942652;29.4821428571429;14.0857142857143;15.9691629955947;34.9159292035398;16.2555066079295
41;14.8864628820961;15.030701754386;13.0565217391304;12.6943231441048;30.6521739130435;14.9257641921397;16.8888888888889;36.427027027027;16.968253968254
42;17.0045045045045;17.1801801801802;15.2207207207207;14.8693693693694;35.3738738738739;16.9457013574661;19.0578947368421;40.6808510638298;18.994708994709
43;17.8405172413793;18.176724137931;16.4655172413793;15.8225108225108;36.9698275862069;18.3275862068966;19.5728155339806;41.4679802955665;20.0679611650485
44;17.7474747474747;18.3604060913706;15.9646464646465;15.280612244898;37.2727272727273;18.1616161616162;19.9585798816568;42.9761904761905;20.3905325443787
45;19.3786982248521;19.5384615384615;17.7368421052632;17.1235294117647;46.6666666666667;19.5714285714286;22.013986013986;55.1971830985916;22.2253521126761
46;21.4657534246575;21.6666666666667;18.75;18.2162162162162;38.8378378378378;21.7260273972603;23.8582677165354;43.9140625;24.1732283464567
47;21.6031746031746;22.3548387096774;19.6190476190476;18.8095238095238;52.9365079365079;22.3730158730159;24.4403669724771;61.0833333333333;25.302752293578
48;20.0833333333333;20.6041666666667;18.0104166666667;17.6458333333333;50.6770833333333;20.59375;23.4556962025316;61.3974358974359;23.9367088607595
49;19.2989690721649;20.2680412371134;17.7216494845361;17.2886597938144;39.6494845360825;20.1649484536082;21.4470588235294;45.3975903614458;22.3764705882353
50;21;21.7931034482759;18.864406779661;18.271186440678;43.1016949152542;21.5862068965517;24.0816326530612;52.936170212766;24.734693877551
51;22.575;22.775;19.825;19.3125;50.075;23.25;24.9714285714286;55.9571428571429;25.7571428571429
52;27.3863636363636;25.9886363636364;22.3483146067416;21.6741573033708;44.123595505618;26.0568181818182;28.5;46.4166666666667;27
53;28.4473684210526;28.4553571428571;24.5217391304348;24.1842105263158;55.1826086956522;28.1592920353982;29.5740740740741;60.2019230769231;29.2523364485981
54;28.1028037383178;27.9532710280374;24.8148148148148;23.9537037037037;61.8518518518519;28.4622641509434;28.9029126213592;65.0686274509804;29.1764705882353
55;28.3888888888889;28.0238095238095;24.8346456692913;24.0079365079365;59.9133858267717;28.76;30.7304347826087;65.6869565217391;31.1315789473684
56;30.3941605839416;30.3503649635036;25.9416058394161;25.1240875912409;55.3576642335766;30.2627737226277;32.5555555555556;61.0487804878049;32.3095238095238
57;32.6132075471698;31.5566037735849;27.9622641509434;26.9905660377358;70.1132075471698;32.7924528301887;32.9142857142857;70.7714285714286;33.0952380952381
58;29.8347826086956;29.8333333333333;26.3826086956522;25.7304347826087;57.9826086956522;30.5739130434783;31.9716981132075;63;32.7358490566038
59;34.8703703703704;34.5925925925926;29.6605504587156;29.0366972477064;69;35.2314814814815;35.1214953271028;70.9056603773585;35.4859813084112
60;33.9160305343511;34.2519083969466;29.2748091603053;28.381679389313;63.4351145038168;33.6946564885496;35.0476190476191;67.3170731707317;34.7936507936508
61;39.472049689441;38.874213836478;33.7204968944099;33.00625;77.8385093167702;39.1552795031056;39.8805031446541;79.6687898089172;39.559748427673
62;41.6;40.9066666666667;35.205298013245;34.4238410596027;81.1125827814569;41.1733333333333;42.0202702702703;83.6712328767123;41.5945945945946
63;41.8306451612903;40.508064516129;35;34.3548387096774;90.9838709677419;41.1382113821138;42.4344262295082;93.1404958677686;41.7355371900826
64;40.396694214876;39.8166666666667;34.5371900826446;33.65;71.6198347107438;40.4380165289256;40.396694214876;71.6198347107438;40.4380165289256
65;43.7727272727273;43.5779816513761;38.4;37.9;93.1;44.2272727272727;44.8691588785047;96.3490566037736;45.3177570093458
66;45.4183673469388;44.4489795918367;38.3469387755102;37.6020408163265;79.234693877551;45.7142857142857;45.8144329896907;79.9690721649485;46.1546391752577
67;44.1683168316832;44.5445544554455;37.2574257425743;36.950495049505;87.8217821782178;43.7128712871287;45.7422680412371;91.1134020618557;45.2268041237113
68;47.989010989011;47.1208791208791;40.8351648351648;39.7472527472527;83.9340659340659;47.1222222222222;48.4777777777778;85.7977528089888;47.6067415730337
69;45.7023809523809;45.7023809523809;38.6309523809524;37.5714285714286;87.9642857142857;46.1666666666667;47.7125;93.2025316455696;48.2125
70;51.3456790123457;50.3625;42.2592592592593;41.3950617283951;90.3827160493827;50.962962962963;51.925;93.7820512820513;51.5375
71;50.021978021978;49.3076923076923;41.7582417582418;40.9666666666667;88.3736263736264;49.3406593406593;50.9325842696629;92.2298850574713;50.247191011236
72;48.9120879120879;48.3444444444444;41.6847826086956;40.6195652173913;80.7065217391304;49.4666666666667;49.752808988764;84.9885057471264;50.3409090909091
73;42.6071428571429;43.4880952380952;37.0588235294118;36.2117647058824;74.4;44.7738095238095;42.6071428571429;75.2857142857143;44.7738095238095
74;50.1509433962264;48.8761904761905;42.4339622641509;41.5714285714286;81.2641509433962;49.7238095238095;50.1509433962264;82.0380952380952;49.7238095238095
75;57.7222222222222;56.5;48.1111111111111;47.3240740740741;107.916666666667;58.3796296296296;58.2242990654206;108.81308411215;58.8691588785047
76;60.5855855855856;60.2612612612613;51.4553571428572;50.7027027027027;112.9375;61.5495495495495;60.5855855855856;114.990909090909;61.5495495495495
77;56.625;55.7166666666667;46.9666666666667;45.8050847457627;88.3416666666667;57.7833333333333;56.9831932773109;91.2413793103448;58.1512605042017
78;62.575;61.0333333333333;51.2416666666667;48.8632478632479;105.408333333333;63.5333333333333;62.575;106.294117647059;63.5333333333333
