n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm-1;angular resolution fa;angular resolution rm;angular resolution tr;angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm-1;Time fa;Time rm;Time tr;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;empty;empty2
31;68.5674095238095;83.0109047619048;68.5674095238095;77.4487285714286;23.4145428571429;16.2737476190476;23.4145428571429;19.4748476190476;1.90192903394068;20.7509550211064;1.90192903394068;2.01334835399832;9.71428571428571;7.80952380952381;9.71428571428571;8.71428571428571;758.142857142857;206.428571428571;758.142857142857;207.857142857143;961.904761904762;1266.66666666667;2557.14285714286;;
32;73.6657119047619;87.8222880952381;73.6657119047619;81.8474261904762;27.1595619047619;22.6012952380952;27.1595619047619;23.076830952381;1.74797602213955;14.7602999363843;1.74797602213955;1.98833861832755;7.16666666666667;5.83333333333333;7.16666666666667;6.14285714285714;388.761904761905;232.238095238095;388.761904761905;202.666666666667;1090.47619047619;1166.66666666667;1423.80952380952;;
33;70.2849754716981;86.5241018867925;70.2849754716981;78.4736056603774;24.4109;16.9591547169811;24.4109;18.895841509434;1.80074941038541;20.5009153344507;1.80074941038541;2.12533607884905;9.0377358490566;7.9622641509434;9.0377358490566;7.79245283018868;507.283018867925;225.452830188679;507.283018867925;169.264150943396;988.679245283019;933.962264150943;1571.69811320755;;
34;70.9225387096774;88.1399935483871;70.9225387096774;80.1744193548387;23.7275306451613;21.03395;23.7275306451613;21.4883290322581;1.82004761511155;16.2769680922407;1.82004761511155;2.10863481427372;7.58064516129032;6.03225806451613;7.58064516129032;6.43548387096774;469.112903225807;212.032258064516;469.112903225807;171.548387096774;924.193548387097;974.193548387097;1451.61290322581;;
35;69.2057462365591;86.6832473118279;69.2057462365591;78.4885870967742;23.8006870967742;17.0567290322581;23.8006870967742;19.3606774193548;1.83059541913293;25.5536743545627;1.83059541913293;2.09120026196898;9.49462365591398;8.53763440860215;9.49462365591398;8.32258064516129;326.537634408602;282.58064516129;326.537634408602;207.956989247312;1162.36559139785;1121.50537634409;868.817204301075;;
36;67.7714609195403;86.6272206896552;67.7714609195403;79.0961327586207;21.4260235632184;17.0262482758621;21.4260235632184;17.6068862068965;1.86876553152044;29.0384400825858;1.86876553152044;2.13056596632257;10.2413793103448;9.26436781609195;10.2413793103448;8.44827586206897;524.890804597701;289.862068965517;524.890804597701;209.459770114943;1183.90804597701;1082.18390804598;1350;;
37;65.5418020100503;84.896311557789;65.5418020100503;75.5885618090452;20.8176683417085;15.3995904522613;20.8176683417085;17.071824120603;1.89087586275751;24.750524494261;1.89087586275751;2.15279838576006;11.7336683417085;10.9748743718593;11.7336683417085;9.9748743718593;373.025125628141;300.668341708543;373.025125628141;215.542713567839;1152.26130653266;1059.79899497487;922.613065326633;;
38;64.6593439814815;84.6498949074074;64.6593439814815;76.2407694444444;20.0305958333333;15.0336634259259;20.0305958333333;17.0932194444445;1.91857680571276;33.2786775840785;1.91857680571276;2.21160428498655;12.5138888888889;12.0740740740741;12.5138888888889;10.6944444444444;503.175925925926;334.907407407407;503.175925925926;247.708333333333;1210.64814814815;1177.77777777778;1171.2962962963;;
39;62.6917474903475;83.4042656370655;62.6917474903475;73.2563853281854;19.1476544401544;14.5734544401544;19.1476544401544;15.585211969112;1.95540808224736;30.6669788665287;1.95540808224736;2.22651954767519;14.5791505791506;13.5057915057915;14.5791505791506;12.7760617760618;544.19305019305;346.474903474903;544.19305019305;248.938223938224;1274.90347490347;1117.76061776062;1169.11196911197;;
40;62.3280070484582;83.6631207048458;62.3280070484582;73.4980753303965;19.1267083700441;13.8268986784141;19.1267083700441;15.0684726872247;1.96527229667849;36.8212237867824;1.96527229667849;2.2841487762769;14.9030837004405;13.8149779735683;14.9030837004405;12.6299559471366;469.845814977974;373.850220264317;469.845814977974;265.36563876652;1355.94713656388;1179.73568281938;970.044052863436;;
41;60.7297153439153;83.1588148148148;59.9281514705882;73.0808560846561;18.3719608465608;13.0051095238095;17.9175044117647;14.6281534391534;2.00785477188328;36.442245617309;2.06088047727766;2.31114471500009;15.6878306878307;15.4232804232804;15.7794117647059;13.6243386243386;692.883597883598;384.814814814815;692.883597883598;286.121693121693;1307.40740740741;1223.80952380952;1375.66137566138;;
42;60.5273915789474;81.8046215789474;59.916349122807;72.5785773684211;18.4939405263158;12.3390147368421;18.209049122807;13.09786;2.04039764044154;29.1005724935239;2.06429552184978;2.35725364727979;17.3842105263158;16.7947368421053;17.1929824561403;14.9368421052632;867.789473684211;380.452631578947;867.789473684211;282.947368421053;1240;1155.78947368421;1644.73684210526;;
43;59.6437169902913;81.2790315533981;61.161286440678;72.0041194174757;17.418959223301;12.805590776699;18.0542203389831;13.9156470873786;2.07727592635945;31.7961810169231;2.08060148862387;2.33579791799385;18.6650485436893;18.3058252427184;17.135593220339;16.0145631067961;664.077669902913;385.300970873786;664.077669902913;278.800970873786;1246.11650485437;1119.90291262136;1273.30097087379;;
44;59.5540615384615;81.5638201183433;64.0914868421053;71.3344325443787;17.6410041420118;12.938924260355;18.8176105263158;13.9771;2.08734297364429;33.5752953280759;2.05837021993638;2.40396873117792;18.6272189349112;18.2189349112426;15.6315789473684;15.7278106508876;525.449704142012;414.562130177515;525.449704142012;283.905325443787;1275.73964497041;1085.20710059172;931.360946745562;;
45;57.7178006944444;79.47846875;59.4653434782609;69.065225;16.3185861111111;11.0091826388889;16.9023652173913;12.9421152777778;2.10835519714728;36.1782805404418;2.00321027696201;2.41279206038482;20.5416666666667;21.0902777777778;17.9565217391304;18.0694444444444;363.659722222222;423.097222222222;363.659722222222;299.326388888889;1288.88888888889;1132.63888888889;616.666666666667;;
46;58.0564604651163;79.0220736434108;63.785868;67.9149852713178;16.0226224806202;11.0165674418605;16.470272;12.9377387596899;2.12427490983535;30.5533063150966;2.07408666309529;2.46696619763501;21.015503875969;22.015503875969;17.36;18.8062015503876;836.395348837209;455.480620155039;836.395348837209;296.53488372093;1362.01550387597;1103.1007751938;1417.82945736434;;
47;56.7872495412844;77.8840596330275;60.6465777777778;68.0465146788991;17.1847256880734;11.9258862385321;18.7091962962963;12.6788348623853;2.12850588968196;34.599579858824;2.06369152018845;2.39998322812492;23.1192660550459;24.4036697247706;18.4814814814815;20.1559633027523;720.788990825688;460.211009174312;720.788990825688;308.422018348624;1300.91743119266;1134.8623853211;1237.61467889908;;
48;59.2189367088607;79.7914518987342;62.5648230769231;68.2667860759494;17.8579886075949;12.0664632911392;21.8943730769231;13.745170886076;2.02882607527203;38.1494445452998;1.98038061569429;2.45104175274431;21.9113924050633;22.0886075949367;17.8076923076923;18.9746835443038;679.974683544304;445.26582278481;679.974683544304;282.848101265823;1298.73417721519;1008.86075949367;1058.22784810127;;
49;59.8344847058824;79.8974011764706;59.3929933333333;69.4209552941176;17.0130294117647;12.6775164705882;17.4315033333333;14.1471294117647;2.06266375293825;29.9565636196337;1.99446657063464;2.45592630966421;20.5294117647059;20.4352941176471;20.7;17.6;832.44705882353;441.458823529412;832.44705882353;311.364705882353;1336.47058823529;1090.58823529412;1248.23529411765;;
50;57.3082244897959;79.1752163265306;57.5876727272727;69.6824979591837;15.8957755102041;11.9294755102041;17.8014227272727;13.0809489795918;2.11971237518831;45.2324454711539;2.09243940132197;2.44971267042465;22.7959183673469;21.6938775510204;22.1818181818182;19.2244897959184;836.775510204082;496.734693877551;836.775510204082;341.571428571429;1367.34693877551;1161.22448979592;1189.79591836735;;
51;55.2369885714286;77.57848;55.30839;67.1875785714286;16.2276371428571;10.6878985714286;16.701375;11.40059;2.13502270008812;39.8994378808353;2.11392950972804;2.51550390154524;23.2142857142857;23.2142857142857;22.025;19.8142857142857;1093.67142857143;480.014285714286;1093.67142857143;315;1305.71428571429;1027.14285714286;1572.85714285714;;
52;56.5388505882353;77.2542447058824;56.9954509803921;67.7071729411765;15.6136717647059;9.82451647058823;15.2100137254902;11.7902894117647;2.17197974138883;38.5627978171172;2.18811118946031;2.5430652728703;24.7294117647059;26.8470588235294;25.843137254902;20.5882352941176;498.541176470588;473.705882352941;498.541176470588;366.529411764706;1221.17647058824;1156.47058823529;696.470588235294;;
53;56.3400796296297;78.5831101851852;57.2385216666667;66.8328361111111;15.632037962963;11.3316342592593;15.8090566666667;12.3565212962963;2.21497910548984;43.3412105020068;2.21504915862172;2.73613742953078;26.3425925925926;27.3796296296296;27.8333333333333;23.6574074074074;675.361111111111;541.055555555556;675.361111111111;338.407407407407;1391.66666666667;1058.33333333333;935.185185185185;;
