Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Mixed
11;66.3449606299212;55.3149606299213;60.833046875;62.7912598425197;26.4057142857143
12;70.4490209790209;57.431048951049;60.9692361111111;63.5081118881119;28.0775
13;58.9247798742139;50.7000628930818;50.5873291925466;53.966149068323;35.112
14;58.9059171597633;53.0254437869822;51.2316568047337;53.9918934911243;26.5833333333333
15;49.111404494382;45.0188202247191;41.5102793296089;43.5720111731844;24.829
16;51.1961445783133;44.8321084337349;41.5823952095809;43.4977710843373;34.3172727272727
17;48.952;43.5698657718121;39.3078666666666;41.4475333333333;27.9388888888889
18;46.9008474576271;42.0342372881356;37.3104237288136;38.6322881355932;28.2453846153846
19;45.8469642857143;41.449375;35.430625;37.9663392857143;27.8188235294118
20;46.9979569892473;41.3670967741936;37.1364516129032;39.4338709677419;31.8891666666667
21;42.8330392156863;38.1547058823529;31.8380392156863;34.623431372549;29.5152173913044
22;43.665487804878;38.7263414634146;32.9479518072289;35.105;26.9276470588235
23;40.4953333333333;38.532;31.0521052631579;33.601447368421;27.6078571428571
24;44.5032876712329;39.7587671232877;34.5321917808219;36.5330136986301;24.3044444444444
25;42.3889285714286;39.1755952380952;32.7867441860465;34.0418604651163;27.6427272727273
26;42.0143902439025;39.6978048780488;33.6726506024096;35.1911111111111;28.9888888888889
27;41.7170652173913;36.5556989247312;31.9521505376344;34.6163440860215;30.2158823529412
28;38.0195;34.4555;26.4398765432099;29.2046913580247;30.6646666666667
29;40.0789855072464;34.7615942028986;28.1788405797101;30.0122058823529;28.8761904761905
30;38.1190322580645;32.8346774193548;26.395;28.0293548387097;29.7321052631579
31;38.2547058823529;32.4915294117647;29.3910588235294;28.2091764705882;28.2857142857143
32;41.2040310077519;36.164921875;29.1246511627907;33.0251162790697;35.4130952380952
33;38.9441463414634;32.7556707317073;26.5754819277108;28.8568674698795;32.3801886792453
34;39.6633689839572;34.2134759358289;26.431329787234;29.3201595744681;31.5291935483871
35;36.9458762886598;28.8243298969072;23.0334693877551;26.1832653061225;30.8435869565217
36;34.1673151750973;27.2176953125;19.9910116731517;23.1045525291829;31.030632183908
37;32.4222742474916;25.3472575250836;18.7240333333333;21.4806;29.1227272727273
38;31.3273397435897;24.710608974359;18.378785942492;20.4241853035144;28.7526976744186
39;29.3514285714286;22.6919940476191;16.3413905325444;19.4968154761905;27.4588759689923
40;29.5342857142857;22.2363669064748;15.03225;18.5562007168459;27.8033920704846
41;28.8102183406113;22.1213596491228;14.3266956521739;17.9675982532751;27.3666666666666
42;28.1591891891892;21.2827027027027;13.886981981982;16.7772972972973;26.5802105263158
43;28.1366379310345;21.4396551724138;13.7881896551724;16.8015584415585;26.7302912621359
44;28.1465151515151;21.1493401015228;13.6129797979798;16.9410204081633;26.7143195266272
45;27.3702958579882;21.4280473372781;12.2372514619883;17.2758235294118;25.3106993006993
46;26.796301369863;19.8653741496599;12.4702702702703;16.9099324324324;25.3355118110236
47;27.5707936507936;20.9642741935484;13.6942063492064;16.2553174603175;25.2905504587156
48;29.3166666666667;19.7113541666667;14.8504166666667;18.5759375;27.5291139240506
49;29.0812371134021;20.3347422680412;13.5945360824742;16.3035051546392;27.6903529411765
50;27.2881034482759;20.2703448275862;13.5184745762712;16.2793220338983;26.0712244897959
51;25.951375;19.007375;11.0485;15.113875;25.0865714285714
52;25.1379545454545;18.2684090909091;12.0148314606742;16.0291011235955;24.6113095238095
53;25.4423684210526;17.7577678571429;11.6315652173913;14.5373684210526;25.1158333333333
54;26.3843925233645;17.5802803738318;9.52953703703704;14.72;26.0407766990291
55;25.6012698412698;18.317619047619;9.90622047244094;15.2675396825397;24.3268695652174
56;24.8063503649635;17.2683941605839;9.75299270072993;14.0792700729927;23.5965079365079
57;24.0617924528302;15.7140566037736;8.94933962264151;12.5256603773585;23.9898095238095
58;25.7393043478261;18.2734210526316;10.3586956521739;13.6638260869565;24.9304716981132
59;23.9361111111111;16.2908333333333;9.78688073394496;11.9522018348624;23.8880373831776
60;24.2599236641221;15.6081679389313;8.09053435114504;12.7189312977099;23.7152380952381
61;22.3625465838509;15.6450314465409;7.54863354037267;12.1905625;22.2725786163522
62;22.0792666666667;14.7604666666667;7.77980132450331;11.1213245033113;21.8966891891892
63;22.6829032258064;14.1112096774194;8.95524193548387;11.7858870967742;22.3886885245902
64;23.1957851239669;14.383;7.4605785123967;12.10825;23.1957851239669
65;23.693;15.1838532110092;8.09609090909091;11.5940909090909;23.2982242990654
