Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo1441.71.gml;71;92;7;0.44;37.87;3625;164.11;59;11170;37.87;2.20155931602729;1;1
grafo1476.71.gml;71;95;7;0.96;33.83;4721;164.51;109;15720;33.83;2.96537184892796;1;1
grafo1497.71.gml;71;95;8;0.83;58.23;4573;157.52;73;14723;58.23;1.7140434192673;1;1
grafo1516.71.gml;71;101;8;0.62;33.12;854;183.35;69;3035;33.12;3.4106517831804;1;1
grafo2271.71.gml;71;89;6;1.73;57.12;2613;163.32;40;7861;57.12;1.67638376383764;1;1
grafo4213.71.gml;71;94;7;0.62;39.63;2249;169.18;42;7057;39.63;1.93350950473105;1;1
grafo4338.71.gml;71;98;10;1.75;58.9;2411;162.57;36;8274;58.9;1.74949647532729;1;1
grafo4371.71.gml;71;96;8;0.01;19.87;0;6664.12;231;25184;19.87;3491.87760358343;1;1
grafo4422.71.gml;71;97;8;0.11;47.23;1658;171.05;57;5585;47.23;1.69090777785802;1;1
grafo4643.71.gml;71;96;7;0;43.37;2724;164.48;30;9223;43.37;2.19864521591871;1;1
grafo4789.71.gml;71;94;7;0.01;37.75;364;205.29;25;1238;37.75;3.17308411214953;1;1
grafo4794.71.gml;71;101;8;0.13;33.16;1025;181.95;50;3516;33.16;2.42518337408313;1;1
grafo4885.71.gml;71;105;6;0.38;13.66;0;201.5;375;28769;13.66;11.377793056033;1;1
grafo4925.71.gml;71;89;5;0.05;48.08;6953;160.52;42;20521;48.08;1.85406424123238;1;1
grafo4938.71.gml;71;94;7;0.05;39.34;737;191.54;30;2379;39.34;2.41004886988393;1;1
grafo5039.71.gml;71;96;8;0.31;31.83;1934;1182.99;90;6573;31.83;217.560311973766;1;1
grafo5097.71.gml;71;104;8;0.31;11.03;0;213.68;431;31095;11.03;42.7607286199444;1;1
grafo5144.71.gml;71;101;7;0.35;30.61;1677;169.04;91;6678;30.61;2.4565642209984;1;1
grafo5179.71.gml;71;98;8;1.69;34.26;1951;164.6;57;6540;34.26;2.22304798605377;1;1
grafo5375.71.gml;71;93;6;3.07;54.16;3221;159.35;42;10382;54.16;1.59496825014066;1;1
grafo5513.71.gml;71;93;8;0.12;48.61;1274;178.87;35;3992;48.61;1.88397034477795;1;1
grafo5929.71.gml;71;98;7;2.46;15.77;0;190.38;312;25762;15.77;3.63585888784488;1;1
grafo6430.71.gml;71;81;6;0.81;69.33;0;157.75;23;18869;69.33;1.43722474911559;1;1
grafo6545.71.gml;71;90;9;2.07;40.07;2885;160.61;48;8921;40.07;1.85489944715968;1;1
grafo6598.71.gml;71;104;8;0.9;43.71;3025;162.26;114;11275;43.71;1.95368402408785;1;1
grafo6890.71.gml;71;107;7;0.54;23.46;2894;172.87;205;11498;23.46;3.11224273286654;1;1
grafo7021.71.gml;71;89;5;0.41;51.74;4609;155.54;33;13870;51.74;1.49568932038835;1;1
grafo7691.71.gml;71;95;9;0.88;32.56;3640;160.08;58;11983;32.56;1.90929648241206;1;1
grafo7787.71.gml;71;87;7;0.53;67.61;4117;1451.3;17;12016;67.61;206.963270660254;1;1
grafo7802.71.gml;71;92;6;3.95;66.62;1529;174.13;21;4658;66.62;1.84336228287841;1;1
grafo7809.71.gml;71;84;5;1.76;73.38;1941;181.39;8;5575;73.38;1.78729493891798;1;1
grafo7810.71.gml;71;92;6;0.02;39.27;1413;177.43;33;4410;39.27;1.92778357430317;1;1
grafo7820.71.gml;71;95;6;1.37;43.21;2745;165.35;89;9024;43.21;2.18894547883443;1;1
