Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo1380.61.gml;61;72;7;0.56;63.24;2119;169.58;19;5190;63.24;1.51023938010239;1;1
grafo1395.61.gml;61;78;8;3.69;62.42;327;198.22;15;864;62.42;2.89004182754183;1;1
grafo1396.61.gml;61;78;7;2.71;54.43;1827;175.24;13;4761;54.43;1.74129027565641;1;1
grafo1466.61.gml;61;78;8;0;33.2;6810;162.73;83;18585;33.2;3.16503034630489;1;1
grafo1481.61.gml;61;75;5;1.41;59.35;3881;157.29;22;9891;59.35;1.34263238400466;1;1
grafo1728.61.gml;61;71;8;1.5;54.6;3883;166.9;14;9637;54.6;1.67641550208904;1;1
grafo2666.61.gml;61;68;6;4.15;75.91;6093;156.67;14;15119;75.91;1.24414552550878;1;1
grafo3257.61.gml;61;82;6;9.24;49.79;2223;162.61;37;6293;49.79;1.81397823062444;1;1
grafo3342.61.gml;61;90;6;0;18.29;5709;194.34;275;20610;18.29;4.65027032757341;1;1
grafo3376.61.gml;61;86;8;3.27;42.07;2453;175.51;119;7636;42.07;2.72376559387776;1;1
grafo3396.61.gml;61;95;9;0.3;2.75;0;209.15;414;29119;2.75;6.62540272614622;1;1
grafo3399.61.gml;61;78;8;1.2;67.05;3747;155.36;23;9863;67.05;1.44432709716355;1;1
grafo3556.61.gml;61;75;9;1.79;51.82;4123;158.09;30;10531;51.82;2.01883408071749;1;1
grafo3564.61.gml;61;79;7;10.18;55.39;913;180.57;29;2442;55.39;2.00357636348858;1;1
grafo3581.61.gml;61;81;6;0.01;28.32;4312;167.13;134;12088;28.32;2.59222666775537;1;1
grafo3709.61.gml;61;85;8;1.36;32.04;3406;159.47;70;10012;32.04;2.56857900997347;1;1
grafo3787.61.gml;61;73;6;0;44.48;1279;183.22;16;3230;44.48;2.23666038920276;1;1
grafo3853.61.gml;61;79;6;1.58;66.25;3138;158.48;29;9421;66.25;1.60741730704978;1;1
grafo4128.61.gml;61;88;8;0.22;27.03;678;42901.35;55;2075;27.03;6873.56628099174;1;1
grafo4165.61.gml;61;82;8;11.56;55.5;606;189.13;16;1671;55.5;2.11272947959338;1;1
grafo4173.61.gml;61;96;11;1.18;34.48;863;173.27;102;3248;34.48;2.84561850617526;1;1
grafo4181.61.gml;61;78;6;2.33;69.2;3875;157.02;26;10238;69.2;1.47440374470614;1;1
grafo4191.61.gml;61;78;8;3.34;59.56;1945;165.49;31;5208;59.56;2.05307999698409;1;1
grafo4209.61.gml;61;79;6;0.18;73.11;5141;153.97;8;13568;73.11;1.35151981531358;1;1
grafo4239.61.gml;61;76;6;1.55;58.79;1226;181.25;14;3151;58.79;2.02349442379182;1;1
grafo4240.61.gml;61;82;8;4.86;53.8;6407;153.59;41;18547;53.8;1.47855943842515;1;1
grafo4244.61.gml;61;89;9;0;33.22;2750;162.08;89;8369;33.22;2.21038178758083;1;1
grafo4251.61.gml;61;90;7;0.48;18.03;0;183.16;314;23635;18.03;3.83331589410903;1;1
grafo4261.61.gml;61;90;8;5.34;43.74;774;178.01;49;2941;43.74;2.0902657779972;1;1
grafo4269.61.gml;61;93;8;0.08;25.06;2908;175.96;186;10136;25.06;3.94577084583083;1;1
grafo4308.61.gml;61;80;8;0.15;49.97;2298;165.04;43;6408;49.97;2.00239313418056;1;1
grafo4313.61.gml;61;89;7;0.55;29.85;2491;168.09;93;8154;29.85;2.81617854788586;1;1
grafo4319.61.gml;61;85;9;0.2;47.66;410;194.13;34;1215;47.66;3.19779423603285;1;1
grafo4331.61.gml;61;78;7;0.3;65.66;4112;155.09;24;11119;65.66;1.5370565792678;1;1
grafo4345.61.gml;61;83;6;0.28;29.82;3105;3556.27;65;9027;29.82;663.780406689472;1;1
grafo4392.61.gml;61;75;5;9.05;76.26;4741;154.58;16;12073;76.26;1.1992910315491;1;1
grafo4399.61.gml;61;76;7;0.81;82.52;5384;154.13;14;13974;82.52;1.2824976620387;1;1
grafo4412.61.gml;61;77;7;0.96;45.74;0;155.17;28;18310;45.74;1.50911179173047;1;1
grafo4419.61.gml;61;80;7;0.47;35.57;3787;155.05;39;10608;35.57;1.39631234849041;1;1
grafo4433.61.gml;61;79;6;1.49;58.47;2010;162.97;28;5682;58.47;1.96463809298287;1;1
grafo4441.61.gml;61;75;8;0.16;69.57;0;154.99;13;17776;69.57;1.22647538754419;1;1
grafo4447.61.gml;61;75;6;3.87;69.03;403;198.05;10;1018;69.03;2.21121441022661;1;1
grafo4483.61.gml;61;79;8;0;50.3;1366;176.16;18;3645;50.3;2.04460761092689;1;1
grafo4485.61.gml;61;85;8;0.04;59.67;2757;22480.08;27;8338;59.67;3667.84145021645;1;1
grafo4491.61.gml;61;79;7;0.99;67.52;1722;170.32;21;4600;67.52;1.65698677400805;1;1
grafo4497.61.gml;61;82;10;0.13;13.18;2329;9710.28;92;6971;13.18;774.535622656404;1;1
grafo4541.61.gml;61;80;8;5.25;60.56;1563;171.67;27;4259;60.56;1.96418282332788;1;1
grafo4551.61.gml;61;77;6;0.08;76.8;0;152.32;18;17860;76.8;1.17675952564732;1;1
grafo4598.61.gml;61;79;5;0.03;38.12;4981;173.79;130;13939;38.12;2.92096157348388;1;1
grafo4612.61.gml;61;94;9;2.19;55.19;2680;157.75;58;8594;55.19;1.95569678548402;1;1
grafo4616.61.gml;61;81;8;0.01;35.95;1515;169.58;46;4222;35.95;2.2587539790814;1;1
grafo4634.61.gml;61;87;8;0.02;19.22;6696;15912.17;276;24491;19.22;2623.15960195197;1;1
grafo4668.61.gml;61;90;8;0;0;507;10689.67;74;1573;;1319.24715909091;1;1
grafo4690.61.gml;61;83;7;1.22;59.96;2092;167.8;25;5897;59.96;1.83821993734437;1;1
grafo4713.61.gml;61;88;7;0.12;34.9;2848;162.35;84;8719;34.9;2.09077117572693;1;1
grafo4741.61.gml;61;85;7;1.61;29.89;1997;163.83;52;5748;29.89;2.03644684154613;1;1
grafo4749.61.gml;61;73;7;0.74;81.47;4241;155.41;21;10921;81.47;1.27695115103874;1;1
grafo4754.61.gml;61;81;9;0.69;60.35;4894;153.54;32;13571;60.35;1.72081990691013;1;1
grafo4777.61.gml;61;75;8;0.01;76.11;1761;171.51;15;4446;76.11;1.78838383838384;1;1
grafo4863.61.gml;61;84;8;0;28.01;2142;164.52;46;6351;28.01;2.39572062979411;1;1
grafo4878.61.gml;61;79;7;1.28;35.77;6590;155.53;36;17557;35.77;2.02016865165609;1;1
grafo4892.61.gml;61;79;8;2.84;65.54;3743;156.81;29;10341;65.54;1.59209864116759;1;1
grafo4906.61.gml;61;83;8;3.18;61.63;580;188.4;23;1675;61.63;2.18890307080111;1;1
grafo4909.61.gml;61;77;7;0.53;52.13;3218;161.01;29;9082;52.13;1.90069868995633;1;1
grafo4922.61.gml;61;91;8;0.01;19.18;0;189.02;306;25641;19.18;5.02477960447939;1;1
