graph name;iterations-rm;time-rm;cr-rm;n;m;ar-rm;asp-rm;cn-rm;tr-rm;iterations-rm-1;time-rm-1;cr-rm-1;ar-rm-1;asp-rm-1;cn-rm-1;tr-rm-1;iterations-fa;time-fa;cr-fa;ar-fa;asp-fa;cn-fa;tr-fa
grafo1073.51.graphml;2700;703;83.4465;51;64;17.6209;22.1702039428336;11;83.4465;500;143;48.9801;6.3124;2.27164838026685;16;48.9801;300;233;64.4497;22.2483;1.73337940516441;19;63.8422
grafo1210.51.graphml;600;187;89.3766;51;60;10.2912;10.3751555676514;4;89.3766;1700;297;45.2891;9.1335;2.05929403266196;5;45.2891;700;429;66.732;30.1955;1.70801165868671;4;66.7267
grafo1260.51.graphml;1000;392;86.4757;51;66;14.3128;15.5920098411585;17;86.4757;600;230;81.7311;10.6268;1.93736803933344;16;81.7311;100;57;47.6686;18.4431;1.91760047667309;21;47.6176
grafo1305.51.graphml;800;358;78.6792;51;62;8.1657;64.3548783142177;23;78.6792;700;253;82.4283;20.7396;2.28801143602363;16;82.4283;100;59;57.0048;23.2637;1.95320968021236;19;54.4896
grafo1383.51.graphml;600;265;76.2302;51;74;2.2708;26.9875713540444;27;76.2302;2000;466;68.2387;1.5878;2.30537352134391;21;68.2387;1800;1399;50.9201;10.6926;2.23915650262408;32;50.9201
grafo1404.51.graphml;1000;327;66.0405;51;70;5.819;31.3237664507322;31;66.0405;2200;525;82.1599;7.4173;3.49817636346642;16;82.1599;1600;1199;77.5228;12.2353;2.40509293462617;16;77.4974
grafo1470.51.graphml;600;187;69.8246;51;69;0.8127;55.1477249610058;37;69.8246;1400;444;59.2961;3.8077;2.53062576337292;28;59.2961;300;230;52.4519;6.9537;2.2242953730327;33;52.4519
grafo1486.51.graphml;3100;732;89.8663;51;60;15.4909;12.992087191443;5;89.8663;1500;382;89.0037;19.3387;2.3291958192988;6;89.0037;100;67;57.8456;17.2495;1.99012715474586;10;56.7182
grafo1504.51.graphml;500;250;86.1336;51;68;9.5633;15.1245224404971;15;86.1336;1700;518;85.3227;15.6229;2.46377092630647;13;85.3227;100;60;55.0657;18.7688;1.7914315283661;18;55.0595
grafo1520.51.graphml;600;186;68.2184;51;65;18.3523;12.4009544150603;39;68.2184;1500;428;70.75;16.529;2.13047509299685;15;70.75;400;288;44.0479;14.5363;2.6418103939221;20;44.0479
grafo1532.51.graphml;200;78;82.1585;51;61;18.6917;8.65460426749641;9;82.1585;1300;337;88.7995;16.7666;2.08289295978131;9;88.7995;900;664;72.2786;10.5219;1.71422813515301;10;72.2786
grafo1621.51.graphml;1000;343;83.8697;51;61;3.6695;64.2201170477715;14;83.8697;600;115;71.0291;14.0372;2.73055887787013;8;71.0291;200;151;60.4714;17.9673;1.97455919521791;9;60.4714
grafo1906.51.graphml;900;265;81.9379;51;62;6.293;14.4509055577495;8;81.9379;200;76;79.9652;10.8536;2.88551537443872;6;79.9652;18300;11819;58.6681;17.857;2.45695446514141;6;58.6681
grafo3169.51.graphml;700;328;80.2635;51;66;13.0582;18.9762286860662;13;80.2635;800;233;75.3273;31.5914;2.21920245821822;12;75.3273;100;83;47.4994;23.5564;1.87185314615462;19;47.4994
grafo3172.51.graphml;700;359;78.469;51;71;15.8953;41.6277071649451;26;78.469;300;127;54.4211;15.5525;1.97716607249057;24;54.4211;200;152;45.7185;8.2675;2.40540189963708;23;45.7185
grafo3333.51.graphml;2000;547;85.4116;51;71;9.5179;18.7792373351784;16;85.4116;1200;486;70.7456;16.1346;2.42026870120676;21;70.7456;700;529;54.7035;15.0552;2.46742457090313;28;54.5678
grafo3362.51.graphml;2700;983;88.3925;51;63;5.3202;25.2370234217564;11;88.3925;500;174;85.6901;20.8536;2.25683308178436;8;85.6901;13300;9121;59.9489;22.0634;2.19886025446531;18;59.9482
grafo3443.51.graphml;900;483;70.3038;51;73;10.0481;28.8042872684262;32;70.3038;700;322;59.734;6.499;2.67832699337218;37;59.734;200;196;37.2995;11.9908;2.06215284929709;44;37.191
grafo3484.51.graphml;2300;624;86.2538;51;68;7.358;38.7608923204498;23;86.2538;1300;407;78.1228;9.0528;2.42608003026714;19;78.1228;600;436;60.993;4.5926;2.19485760565297;20;60.8564
