graph name;iterations-rm;time-rm;cr-rm;n;m;ar-rm;asp-rm;cn-rm;tr-rm;iterations-rm-1;time-rm-1;cr-rm-1;ar-rm-1;asp-rm-1;cn-rm-1;tr-rm-1;iterations-fa;time-fa;cr-fa;ar-fa;asp-fa;cn-fa;tr-fa
grafo2674.18.graphml;200;15;89.8038;18;23;27.6134;10.7902161524168;2;89.8038;1200;109;89.6599;39.6495;1.795084568498;2;89.6599;700;82;87.3314;37.3544;1.65681281628138;2;87.3314
grafo2723.18.graphml;1200;157;89.7377;18;28;16.8692;6.28792391020989;6;89.7377;1000;108;71.3857;31.0839;1.7404680319517;6;71.3857;1400;213;53.1193;18.6416;1.6039235572458;6;53.1193
grafo2805.18.graphml;1400;187;89.8873;18;25;19.2752;8.03248893527407;3;89.8873;2100;159;66.443;19.0936;1.41816794886987;5;66.443;300;34;58.881;19.0831;1.99565369336937;6;58.7155
grafo2884.18.graphml;100;16;89.8809;18;25;18.7455;10.4622412066215;2;89.8809;300;31;89.5368;19.6538;2.19231612683938;2;89.5368;100;14;72.6236;8.5917;1.68749267099699;4;72.6236
grafo306.18.graphml;400;31;89.83;18;25;13.2127;21.1509670633148;3;89.83;500;62;89.6042;17.4454;1.69091122392255;4;89.6042;1700;237;82.2634;19.7413;1.66531560400796;4;82.2634
grafo449.18.graphml;1100;108;89.9385;18;25;13.0739;37.8289085694017;1;89.9385;800;71;79.5778;14.8586;1.67689737756308;5;79.5778;5900;804;70.4789;22.7338;1.70338568403423;5;70.4789
grafo1105.19.graphml;900;140;89.982;19;24;37.6098;3.98157048082091;1;89.982;700;48;89.4486;38.2338;1.46682469555134;3;89.4486;200;21;68.9495;37.7597;1.53323624209147;3;68.8872
grafo1625.19.graphml;500;47;89.9788;19;24;24.8246;6.34406207887263;2;89.9788;900;86;89.2772;25.2829;1.77462204756439;2;89.2772;300;43;74.2255;25.64;1.7205289517237;4;56.0193
grafo1666.19.graphml;200;31;89.906;19;28;30.4185;3.81156415407466;2;89.906;400;44;89.9279;31.4335;1.82011799768128;1;89.9279;900;124;88.1907;31.2355;1.63744198092876;2;88.1891
grafo1747.19.graphml;1200;172;88.7461;19;29;14.1762;11.4109474955838;6;88.7461;500;54;73.0051;16.1392;2.01135288276343;6;73.0051;600;93;71.669;15.5986;2.08896597220182;6;71.669
grafo1804.19.graphml;1000;188;89.2188;19;30;23.1759;93.4011244702376;6;89.2188;1000;128;77.2085;23.6294;1.65082461737166;9;77.2085;200;38;64.7175;27.082;1.69868467070223;10;64.0263
grafo2143.19.graphml;800;94;89.6655;19;27;21.1539;4.5254957213422;3;89.6655;400;43;71.3183;21.6601;1.67239373103097;6;71.3183;6500;1002;52.7848;27.4509;1.76969854459596;7;51.6858
grafo2375.19.graphml;1800;187;75.958;19;35;3.3167;78.975182736598;18;75.958;400;52;59.4426;5.3738;1.92978874637486;23;59.4426;400;83;40.2964;6.3047;2.05034710660311;16;39.3838
grafo2449.19.graphml;1100;141;89.9945;19;24;25.449;144.449813469918;2;89.9945;100;10;89.5282;22.1307;1.63872901780837;2;89.5282;400;49;86.5416;25.4726;1.49364167175327;2;86.5416
grafo2562.19.graphml;1400;187;88.6061;19;28;19.7709;10.01495275055;4;88.6061;1800;209;76.2824;22.6403;1.87451530672292;4;76.2824;200;29;69.7378;19.1855;1.52567681817247;5;69.7378
grafo2640.19.graphml;200;31;89.7419;19;28;20.9129;8.6638290078112;3;89.7419;400;41;89.9105;20.3231;2.02051416112932;3;89.9105;200;32;74.3873;21.2495;1.51276141529054;5;74.3873
grafo2844.19.graphml;900;109;88.2709;19;30;7.8153;9.91840255939945;12;88.2709;1000;125;70.8771;2.9471;1.86908437332975;8;70.8771;200;32;68.7922;6.4411;1.9851944900576;8;68.6364
grafo2878.19.graphml;3100;390;86.3692;19;33;17.1395;142.459573470334;17;86.3692;2500;370;67.5087;9.0052;2.0599812346516;16;67.5087;2100;468;43.683;12.447;2.21050278520195;21;43.683
grafo2939.19.graphml;1400;187;89.8376;19;28;21.0166;54.482715017455;5;89.8376;1300;153;79.8553;27.2206;2.89527339618777;5;79.8553;5400;635;78.541;25.8411;2.22373728872054;5;78.541
grafo3010.19.graphml;1100;124;89.9674;19;26;21.3238;5.85148118095107;3;89.9674;1400;141;89.7967;21.3972;1.6239605194587;2;89.7967;1200;171;69.5878;31.0697;1.46989655580771;3;69.5872
grafo468.19.graphml;1600;250;89.6546;19;31;12.2636;18.6499310556072;5;89.6546;1400;168;70.5984;19.6636;1.78692712339662;6;70.5984;1900;347;65.4337;24.6206;1.56897159274392;8;65.4337
grafo563.19.graphml;1000;140;82.364;19;29;16.4123;16.7290755748842;12;82.364;300;37;59.9774;15.4897;1.94607319055237;11;59.9774;500;65;59.9167;19.8791;1.87135738477202;13;59.8199
grafo703.19.graphml;2400;312;89.9143;19;31;5.9316;54.8168664390541;4;89.9143;2100;234;89.0973;24.6882;1.93264318897822;6;89.0973;100;13;66.211;20.1704;1.80319673480682;6;66.211
grafo1764.20.graphml;400;47;89.9905;20;25;11.8872;6.04325512562035;1;89.9905;600;67;89.9574;26.0235;1.65531032230118;1;89.9574;700;94;76.3368;21.2448;1.55002029550994;2;70.8662
grafo1873.20.graphml;1000;125;89.38;20;27;4.844;8.1390272865024;4;89.38;1500;147;88.3637;6.1809;1.80663170228259;5;88.3637;1300;210;79.8396;21.187;1.60884736688382;5;79.7015
grafo190.20.graphml;900;94;89.9634;20;26;37.1637;5.32121701347595;2;89.9634;1100;110;89.2657;35.0893;1.49424352120001;2;89.2657;9200;1286;74.96;35.987;1.48745217039259;3;74.96
grafo2166.20.graphml;600;93;89.9228;20;28;25.2328;8.26650349064167;3;89.9228;100;18;89.6472;6.198;2.20211269532871;1;89.6472;200;32;79.9902;24.6752;2.01894046704446;4;79.9902
grafo2209.20.graphml;700;93;87.3027;20;31;7.7193;5.08971222261519;9;87.3027;300;42;75.2906;4.074;2.82473504656921;6;75.2906;1000;187;61.7053;14.108;2.23015436359697;9;61.7053
grafo2246.20.graphml;2300;390;87.7965;20;30;11.8677;69.5188267589593;10;87.7965;100;10;34.422;9.9375;2.1785329870512;8;34.422;500;85;59.5802;30.4619;1.5777973961206;7;59.5099
grafo2284.20.graphml;1600;188;86.9841;20;30;10.7014;41.8198263421001;7;86.9841;700;89;67.5969;18.1252;2.07629407959723;9;67.5969;300;56;42.4657;16.6156;2.26834000599904;8;41.4254
grafo2351.20.graphml;700;62;89.9712;20;26;32.8812;5.69822642913458;3;89.9712;1100;107;89.5578;33.658;1.34073690289833;4;89.5578;0;0;79.0328;27.206;2.36368707205197;4;79.0328
grafo2670.20.graphml;500;94;89.6315;20;28;14.3539;3.40329890906745;3;89.6315;1300;137;89.7825;15.9354;1.71748330615907;3;89.7825;10100;1517;79.4798;27.8088;1.73175282600399;3;79.4798
grafo2718.20.graphml;1900;282;83.3181;20;28;12.9548;16.5539047445522;6;83.3181;2300;205;75.6041;17.2718;1.58960229116685;7;75.6041;100;23;69.3833;23.1569;1.88865871296275;10;69.0295
grafo2776.20.graphml;700;63;89.848;20;24;31.36;8.92649722712394;2;89.848;400;40;89.6903;33.829;1.50145399189438;2;89.6903;400;49;79.8857;39.047;1.36251025495804;2;79.8857
grafo698.20.graphml;1500;219;89.6462;20;27;21.2126;25.7119007265593;6;89.6462;100;10;74.3764;13.4406;1.83699987597091;5;73.7695;1800;222;58.1323;21.402;1.96777322259993;9;58.1323
