graph name;iterations-rm;time-rm;cr-rm;n;m;ar-rm;asp-rm;cn-rm;tr-rm;iterations-rm-1;time-rm-1;cr-rm-1;ar-rm-1;asp-rm-1;cn-rm-1;tr-rm-1;iterations-fa;time-fa;cr-fa;ar-fa;asp-fa;cn-fa;tr-fa
grafo10041.41.graphml;1700;407;82.9641;41;56;25.6119;38.5240232556515;20;82.9641;1300;238;72.4576;22.9316;2.14223099980662;13;72.4576;0;0;39.3595;19.581;2.50862109636694;16;39.3595
grafo10079.41.graphml;1600;391;74.5997;41;57;13.0903;14.066078096695;20;74.5997;1000;224;61.8611;11.8197;2.91735569869538;18;61.8611;500;280;58.5066;14.5235;2.16400702184361;21;58.498
grafo10276.41.graphml;700;218;83.192;41;55;24.8352;17.1366549303758;12;83.192;800;165;55.7044;10.8293;2.20155394910428;17;55.7044;400;234;47.2488;18.8086;2.22864861773083;17;47.2488
grafo10563.41.graphml;600;203;87.9759;41;48;35.1435;36.9898389689385;5;87.9759;1100;223;82.8695;34.1436;1.91866862242384;5;82.8695;500;273;85.7231;34.2074;1.51798851250905;5;85.3165
grafo10755.41.graphml;2600;780;87.37;41;56;8.8807;44.2364756058486;16;87.37;1700;406;59.5105;4.728;1.97944440509825;16;59.5105;700;441;64.5754;16.5431;2.23813330797388;16;64.5754
grafo10845.41.graphml;1100;217;88.6515;41;53;14.8942;18.9962068636803;10;88.6515;2000;390;79.5122;27.5667;1.96193705133521;9;79.5122;23300;14622;71.1543;17.7836;2.10932534232166;10;71.1543
grafo11172.41.graphml;600;140;86.2305;41;51;7.7266;35.1237362709236;11;86.2305;1400;297;80.5877;28.6227;1.79288027031268;13;80.5877;300;161;71.5215;17.043;1.68078913915117;12;71.5215
grafo11173.41.graphml;500;125;89.2022;41;49;28.8543;114.697018565134;5;89.2022;300;75;89.3307;36.1032;2.24102662556896;5;89.3307;500;231;84.1084;38.0963;1.55297516432115;5;83.5803
grafo11212.41.graphml;4100;1046;89.2903;41;56;10.1771;79.5413329810177;16;89.2903;1200;338;61.4728;11.6672;3.5407931971151;16;61.4728;100;51;47.9772;17.1013;1.87788469835573;18;47.1501
grafo11242.41.graphml;400;156;88.2353;41;52;26.4368;4.99824701549457;7;88.2353;1300;225;88.3186;29.2779;2.05770937815727;8;88.3186;200;109;77.7278;32.8341;1.73483539184811;8;77.3668
grafo11262.41.graphml;600;156;89.7605;41;49;24.788;3.42248823745091;4;89.7605;1200;171;88.788;17.6639;1.70942307678953;5;88.788;200;66;62.56;27.4317;1.6458587816474;5;62.5565
grafo11263.41.graphml;3200;810;86.5261;41;57;6.7092;29.5888361717885;14;86.5261;1500;280;73.2818;10.7321;2.11773735594707;14;73.2818;1200;533;61.1672;8.9208;1.86434302179948;18;61.1672
grafo11670.41.graphml;600;218;87.1096;41;54;4.6278;18.7380420666339;13;87.1096;700;161;80.0834;24.2856;2.16657049776343;11;80.0834;200;106;65.3225;24.3227;1.74078699063097;12;65.3225
grafo149.41.graphml;600;234;84.4479;41;54;5.6114;29.009620986008;13;84.4479;400;123;88.2477;13.6014;2.0080137157027;9;88.2477;200;90;58.2064;3.1237;1.82801692900036;12;58.2064
grafo1956.41.graphml;800;327;84.5594;41;58;10.396;38.8484401617243;17;84.5594;900;203;52.837;5.9275;2.71117734248484;19;52.837;3000;1787;64.0745;23.9681;2.15163078719179;19;64.0745
grafo2019.41.graphml;400;109;89.8821;41;47;29.9978;5.36176609948735;2;89.8821;300;54;89.2662;42.5611;1.58256233032818;2;89.2662;1900;771;86.5063;39.1404;1.72671690295632;2;86.5063
grafo2235.41.graphml;1000;358;70.8376;41;58;3.2237;9.91267814621395;25;70.8376;300;80;59.8506;16.5455;2.73716358571401;19;59.8506;200;111;55.8373;9.7138;2.03550447235668;24;55.8373
grafo2531.41.graphml;2300;732;83.2442;41;56;12.0369;21.4187404194971;14;83.2442;1600;384;82.7909;8.1301;2.59369972580112;11;82.7909;400;233;59.1543;15.7098;1.85834861610335;15;59.0003
grafo2623.41.graphml;1700;344;89.0057;41;53;13.9125;13.4374224667484;7;89.0057;800;167;80.066;16.2526;2.39663836952463;7;80.066;24700;10112;63.6373;17.6224;2.296715442497;9;63.6373
grafo2690.41.graphml;1300;437;88.3641;41;57;14.1843;24.0717504520093;13;88.3641;1400;390;89.3276;16.1389;2.23635816991172;10;89.3276;100;58;58.0856;14.6094;2.04441490253427;15;54.8414
grafo2737.41.graphml;900;312;83.3852;41;54;10.717;26.4672026441442;10;83.3852;700;204;81.0532;14.9418;2.52194367013663;9;81.0532;400;203;77.7385;13.3682;1.87298543819895;9;77.7088
grafo2781.41.graphml;1000;390;88.9508;41;61;5.2857;11.9474633524653;9;88.9508;500;168;77.758;11.9654;2.37561024476085;12;77.758;900;404;72.4681;22.5182;1.93087148630132;13;72.4681
grafo2994.41.graphml;1000;327;83.4628;41;52;23.8387;30.5455931140387;13;83.4628;1600;349;73.1954;10.5095;2.34683677837625;16;73.1954;600;316;59.7373;22.5206;1.95747030257226;15;58.4538
grafo3016.41.graphml;1400;296;89.4704;41;49;9.482;38.7950252389875;8;89.4704;1200;241;85.4475;12.9116;2.01820508149513;5;85.4475;1000;460;76.1426;33.0216;1.5339982355188;6;76.1426
grafo3048.41.graphml;1300;374;88.6684;41;50;27.4457;31.4167257874389;4;88.6684;400;104;87.8264;31.2661;2.07358692325091;6;87.8264;3500;1707;69.9997;30.0686;1.86205963741523;9;69.9997
grafo3130.41.graphml;600;265;57.7341;41;61;5.1637;13.69106732648;35;57.7341;2000;533;68.9949;2.9817;2.65671641011618;32;68.9949;1200;532;41.7481;6.9898;3.46508645654895;44;41.7224
grafo3179.41.graphml;1600;406;88.0148;41;56;16.5824;146.942654568426;12;88.0148;1600;388;74.0738;7.7898;2.65744560959539;15;74.0738;500;218;62.5318;19.6484;1.84052196573902;24;62.5318
