Nodes;Mixed OLD;Lin Yen ;Eades;Huang et al.;Crossing Only OLD;Angular Only OLD;Mixed;Crossing Only;Angular Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
11;0.543307086614173;0.543307086614173;0.5703125;0.535433070866142;0.6953125;0.543307086614173;4.85714285714286;5.42857142857143;4.85714285714286;2.43975018237133;7.86832161094276;2.9888212462001;2.26778683805536;7.12492969519822;2.58935601908749;1.43345672494994;6.29059958209279;3.42368613219292;Nodes;=11
12;0.426573426573427;0.433566433566434;0.444444444444444;0.412587412587413;0.631944444444444;0.426573426573427;4.25;6.75;4.25;7.5;14.25;0;2.5;6.75;1.75;1.10219090807521;5.35219090807521;3.14780909192479;Nodes;=12
13;0.666666666666667;0.69811320754717;0.658385093167702;0.633540372670807;1.22360248447205;0.672955974842767;3.4;5.2;3.4;4.76445169982864;9.96445169982864;0.435548300171362;1.94935886896179;5.34935886896179;1.45064113103821;1.37271374910385;4.77271374910385;2.02728625089615;Nodes;=13
14;0.550295857988166;0.579881656804734;0.579881656804734;0.526627218934911;0.727810650887574;0.544378698224852;5;8.33333333333333;5;8.38649708360608;16.7198304169394;0;1.73205080756888;6.73205080756888;3.26794919243112;1.17089031381429;6.17089031381429;3.82910968618571;Nodes;=14
15;1.07303370786517;1.08988764044944;1.11173184357542;1.06145251396648;1.55307262569832;1.03932584269663;4.9;5.6;4.7;3.50238014308365;9.10238014308365;2.09761985691635;2.58413965910857;7.28413965910857;2.11586034089143;1.74421950064471;6.64421950064471;3.15578049935529;Nodes;=15
16;1.10843373493976;1.10843373493976;1.16167664670659;1.08433734939759;1.73652694610778;1.09638554216867;4.36363636363636;8.45454545454546;4.36363636363636;6.90454395834564;15.3590894128911;1.55000149619982;3.29462371972058;7.65826008335694;1.06901264391579;1.75165739689594;6.1152937605323;2.61197896674043;Nodes;=16
17;1.16;1.23489932885906;1.24;1.17333333333333;1.73333333333333;1.17333333333333;5.88888888888889;9.66666666666667;5.55555555555556;5.91607978309962;15.5827464497663;3.75058688356705;3.2829526005987;8.83850815615426;2.27260295495685;1.87296734414321;7.7618562330321;4.01592154474568;Nodes;=17
18;1.61864406779661;1.60169491525424;1.50847457627119;1.49152542372881;2.51694915254237;1.59322033898305;4.38461538461539;8.38461538461539;4.46153846153846;6.5388386014957;14.9234539861111;1.84577678311968;2.40192230707631;6.86346076861477;2.05961615446216;1.89354804017772;6.27816342479311;2.49106734443766;Nodes;=18
19;2.125;2.05357142857143;2.02678571428571;2;2.84821428571429;2.10714285714286;7.17647058823529;11.1176470588235;7.05882352941176;8.63048631988065;19.7481333787042;2.48716073894288;5.28524583434033;12.3440693637521;1.77357769507144;3.38251998389388;10.5589905721292;3.79395060434142;Nodes;=19
20;1.54838709677419;1.60215053763441;1.60215053763441;1.47311827956989;2.35483870967742;1.55913978494624;5.5;6.83333333333333;5.5;4.44835686381823;11.2816901971516;2.3849764695151;3.47719845434641;8.97719845434641;2.02280154565359;2.00522092874698;7.50522092874698;3.49477907125302;Nodes;=20
