Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo10041.41.gml;41;56;8;0.34;77.8;6128;151.29;22;12583;77.8;1.14155762367924;1;1
grafo10079.41.gml;41;57;8;9.95;36.35;3690;159.72;34;7772;36.35;2.03524189164704;1;1
grafo10276.41.gml;41;55;6;1.18;28.36;3785;166.51;42;7884;28.36;2.96493856757567;1;1
grafo10563.41.gml;41;48;7;18.64;77.76;2492;157.97;5;4544;77.76;1.22359339050408;1;1
grafo10755.41.gml;41;56;7;0.51;37.06;3758;156.18;30;7755;37.06;1.49351888667992;1;1
grafo10845.41.gml;41;53;6;2.15;33.71;5038;159.06;32;10123;33.71;1.87524470546361;1;1
grafo11172.41.gml;41;51;7;1.89;35.99;0;153.85;30;13702;35.99;2.05890306769205;1;1
grafo11173.41.gml;41;49;5;17.17;74.38;4054;152.83;8;7705;74.38;1.19805527123849;1;1
grafo11212.41.gml;41;56;6;1.34;51.25;4369;154.36;33;9240;51.25;1.57409743023806;1;1
grafo11242.41.gml;41;52;5;11.99;52.3;5587;155.93;16;10856;52.3;2.00055386319579;1;1
grafo11262.41.gml;41;49;7;5.36;67.18;2847;156.62;5;5285;67.18;1.34152427037653;1;1
grafo11263.41.gml;41;57;8;0.08;34.82;0;178.95;137;15645;34.82;3.29042514534884;1;1
grafo11670.41.gml;41;54;6;0.64;51.37;0;157.61;50;14752;51.37;1.98585786711732;1;1
grafo149.41.gml;41;54;8;0.34;33.55;0;167.51;91;14875;33.55;2.84500053931615;1;1
grafo1956.41.gml;41;58;7;0.21;37.7;3158;160.11;39;6814;37.7;1.94585292142377;1;1
grafo2019.41.gml;41;47;5;22.06;87.98;6002;153.11;2;10621;87.98;1.04903397734843;1;1
grafo2235.41.gml;41;58;7;5.48;43.78;1291;161.78;30;2811;43.78;2.3888611637888;1;1
grafo2531.41.gml;41;56;7;3.92;47.27;2607;157.81;21;5339;47.27;2.01968503937008;1;1
grafo2623.41.gml;41;53;8;0.54;62.6;1899;164.75;10;3801;62.6;1.61466064733338;1;1
grafo2690.41.gml;41;57;8;1.94;64.72;4140;154.41;24;8618;64.72;1.69280150646238;1;1
grafo2737.41.gml;41;54;7;0.15;48.5;2011;5846.28;24;4108;48.5;733.789734311018;1;1
grafo2781.41.gml;41;61;6;0.04;70.05;1428;158.84;18;3175;70.05;1.44172394043528;1;1
grafo3016.41.gml;41;49;5;1.87;85.01;5432;152.7;6;10104;85.01;1.11621006141743;1;1
grafo3048.41.gml;41;50;6;0.04;53.18;4316;154.59;17;8233;53.18;1.25793006004945;1;1
grafo3130.41.gml;41;61;11;2.13;40.68;934;165.19;41;2106;40.68;2.03192102015631;1;1
grafo3197.41.gml;41;53;7;0.17;49.94;5970;154.65;32;11933;49.94;1.34624422041992;1;1
grafo3265.41.gml;41;62;8;1.2;57.16;1835;160.02;31;4018;57.16;2.79323122529644;1;1
grafo3278.41.gml;41;56;8;2.43;46.49;3375;161.31;38;7269;46.49;1.90600410537119;1;1
grafo3306.41.gml;41;53;6;2.1;50.63;6507;159.85;41;12797;50.63;2.17147080561715;1;1
grafo3340.41.gml;41;54;8;12.24;59.94;1891;160.33;16;3853;59.94;1.61314762378511;1;1
grafo3369.41.gml;41;56;7;3.51;39.78;1906;157.53;29;4013;39.78;1.9428930331433;1;1
grafo3388.41.gml;41;56;8;0.35;53.17;0;160.71;49;14579;53.17;2.59480981824995;1;1
grafo3401.41.gml;41;53;8;0.7;54.51;6319;156.15;42;12817;54.51;1.59270049364733;1;1
grafo3420.41.gml;41;51;6;12.89;66.34;608;178.93;9;1204;66.34;2.57377574737517;1;1
grafo3444.41.gml;41;53;5;17.69;52.46;383;188.96;16;763;52.46;2.20907329673878;1;1
grafo3452.41.gml;41;54;7;0.79;57.06;2832;156.32;12;5776;57.06;1.31156433065741;1;1
grafo3470.41.gml;41;51;5;0.88;57.87;3191;1670.85;13;6170;57.87;144.114447633768;1;1
grafo3498.41.gml;41;53;8;0.18;64.42;3761;156.99;25;7618;64.42;1.44146037677098;1;1
grafo3527.41.gml;41;54;7;0.44;59.5;5851;153.73;27;11834;59.5;1.43810574422819;1;1
grafo3575.41.gml;41;52;7;9.05;43.61;4406;154.43;20;8685;43.61;1.60011469768966;1;1
grafo3582.41.gml;41;51;8;0.45;72.38;3620;153.84;19;7286;72.38;1.21991063948618;1;1
grafo3613.41.gml;41;54;7;0.02;24.27;4091;2817.95;92;8534;24.27;394.369428827508;1;1
grafo3640.41.gml;41;53;6;4.2;65.54;3080;155.54;11;6042;65.54;1.25901732462369;1;1
grafo3647.41.gml;41;58;7;0.07;26.36;3250;3950.98;54;7042;26.36;447.686377616827;1;1
grafo3650.41.gml;41;54;7;1.83;62.39;3551;154.11;22;7126;62.39;1.99470048263462;1;1
grafo3670.41.gml;41;57;8;0.51;30.72;0;179.6;135;16003;30.72;3.54626218851571;1;1
grafo3683.41.gml;41;59;7;1.67;34.78;0;166.28;81;15428;34.78;2.41904120138621;1;1
grafo3687.41.gml;41;53;6;0.57;43.92;3347;913.44;38;6872;43.92;91.8805746518597;1;1
grafo3691.41.gml;41;53;5;0.54;43.49;4122;158.86;36;8136;43.49;2.08005766458433;1;1
grafo3692.41.gml;41;59;8;0.15;50.01;2092;159.85;41;4982;50.01;1.75705207687539;1;1
grafo3694.41.gml;41;59;7;0.26;23.53;0;189.78;197;17590;23.53;5.47167052516145;1;1
grafo3701.41.gml;41;58;8;0.04;26.68;5840;176.48;123;13038;26.68;3.51390579642289;1;1
grafo3745.41.gml;41;54;7;0.88;34.99;0;171.64;99;15083;34.99;2.22753635370261;1;1
grafo3781.41.gml;41;58;8;0.86;28.46;6219;194.91;215;14489;28.46;5.52180820335066;1;1
grafo3794.41.gml;41;52;6;2.38;50.37;6596;160.98;35;12720;50.37;1.73199907982517;1;1
grafo3798.41.gml;41;50;7;1.3;65.92;1451;166.52;8;2795;65.92;1.93282904689864;1;1
grafo3802.41.gml;41;57;8;0;62.39;5242;153.5;29;11083;62.39;1.42555793335371;1;1
grafo3889.41.gml;41;55;7;0;46.91;5382;162.13;39;10978;46.91;2.84234519437761;1;1
grafo3908.41.gml;41;57;7;1.41;32.35;5042;164.68;86;10943;32.35;2.17718285876454;1;1
grafo3910.41.gml;41;49;6;8.67;55.78;2917;157.79;12;5504;55.78;1.38194285714286;1;1
grafo3940.41.gml;41;59;9;0.65;36.87;4241;161.87;62;9346;36.87;2.1826306586361;1;1
grafo4001.41.gml;41;51;7;2.24;36.5;0;160.7;55;13958;36.5;2.02339472374316;1;1
grafo4031.41.gml;41;62;7;0.17;34.08;871;171.04;42;2166;34.08;2.6333398744113;1;1
grafo4052.41.gml;41;56;8;0.5;40.71;2786;159.76;45;6042;40.71;2.51986785353767;1;1
grafo4084.41.gml;41;56;7;4.4;63.5;1055;167.28;15;2130;63.5;1.79673405909798;1;1
grafo4108.41.gml;41;52;8;0.65;62.38;3009;155.9;17;6036;62.38;1.49721978343576;1;1
grafo5146.41.gml;41;50;6;4.24;68.25;2566;157.13;12;4870;68.25;1.41831433666744;1;1
grafo5149.41.gml;41;55;6;0.99;78.77;4319;153.48;15;8841;78.77;1.31966791565645;1;1
grafo5191.41.gml;41;61;8;0.06;50.89;3787;154.04;33;8446;50.89;2.1984397854705;1;1
grafo5225.41.gml;41;52;8;0.03;30.73;2165;13691.46;25;4306;30.73;888.342722553355;1;1
