n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;sd angular resolution fa;sd angular resolution rm;sd angular resolution rm-1;ar_up fa;ar_down fa;ar_up rm;ar_down rm;ar_up rm-1;ar_down rm-1;sd aspect ratio fa;sd aspect ratio rm;sd aspect ratio rm-1;asp_up fa;asp_down fa;asp_up rm;asp_down rm;asp_up rm-1;asp_down rm-1;sd crossing number fa;sd crossing number rm;sd crossing number rm-1;cn_up fa;cn_down fa;cn_up rm;cn_down rm;cn_up rm-1;cn_down rm-1;sd iterations fa;sd iterations rm;sd iterations rm-1;it_up fa;it_down fa;it_up rm;it_down rm;it_up rm-1;it_down rm-1;a;b
11;62.0633714285714;69.5698428571429;61.2435428571429;68.5167285714286;64.5850714285714;21.7996571428571;39.7224714285714;19.4662;180;29.8722285714286;2.17326781588475;5.19122113304736;1.94281594595673;4.36178042170558;1.88537941836037;5.57142857142857;5.28571428571429;4.71428571428571;4.71428571428571;5.71428571428571;19.5158285714286;39.7224714285714;18.8973428571429;37.5805428571429;29.8722285714286;15.5714285714286;301.285714285714;15.5714285714286;198.857142857143;153.428571428571;900;1300;114.285714285714;8.34674027008092;8.09217341586183;5.62680043207336;30.1463974129381;13.4529168727762;47.8146448444333;31.6302980127096;35.4990290035019;24.2454281393552;0.497123157586506;1.34281811873077;0.396602637512436;2.67039097347126;1.67614465829825;6.53403925177813;3.84840301431659;2.28198205587281;1.48877678084793;3.909694909544;2.9277002188456;3.90360029179413;9.48112348097257;1.66173366188457;8.21341450455989;2.35801406686869;9.61788600607985;1.81068542249158;177.281052085584;541.602560309064;743.863786814047;291.566766371298;0;1441.60256030906;358.397439690936;2043.86378681405;556.136213185953;n;=11
12;66.4104;71.3856;68.32625;74.668725;71.261375;23.70015;38.68875;28.604075;180;32.5381;2.06159338872609;6.30273025127621;1.89723853444243;3.65859415067725;1.75942988793642;5.75;4.25;5;3.5;5;22.53795;38.68875;26.466825;40.46395;32.5381;46.5;267.25;15.5;423.25;66.5;800;575;350;8.57318212120408;4.62380392065523;10.5566540886148;32.2733321212041;15.1269678787959;43.3125539206552;34.0649460793448;43.0947540886148;21.9814459113852;0.503455087188025;7.30523811049032;0.225962464267234;2.56504847591412;1.55813830153807;13.6079683617665;1;1.98539235220365;1.53346742366918;4.27200187265877;2.5;4;10.0220018726588;1.47799812734123;6.75;1.75;9;1;264.575131106459;408.248290463863;236.29078131263;614.575131106459;85.4248688935409;1208.24829046386;391.751709536137;811.29078131263;338.70921868737;n;=12
13;66.58144;69.41792;70.1107;67.98196;74.3376;27.08518;46.80516;25.75354;180;35.78244;1.89958715912194;8.59849528062496;1.70574324137062;4.3271426990017;1.77531569463154;3.6;4;4;4.2;3.4;26.13192;46.80516;24.3895;42.8793;35.78244;28.4;349.8;34.2;221.4;140.8;1180;1100;300;15.3555211629889;11.9114277359181;6.93157568652323;42.4407011629889;11.7296588370111;58.7165877359181;34.8937322640819;42.7140156865232;28.8508643134768;0.242574093038552;5.26082434299017;0.241579565237664;2.14216125216049;1.65701306608339;13.8593196236151;3.33767093763478;2.0168952598692;1.53373612939387;2.07364413533277;3.08220700148449;1.94935886896179;5.67364413533277;1.52635586466723;7.08220700148449;0.917792998515512;5.34935886896179;1.45064113103821;504.975246918104;875.785361832453;524.404424085076;804.975246918104;0;2055.78536183245;304.214638167547;1624.40442408508;575.595575914924;n;=13
14;70.1252666666667;64.1368666666667;74.1861666666667;64.3383666666667;65.1138;27.729;44.5064333333333;24.4394666666667;180;33.8106333333333;1.99475787641555;23.05793371184;1.89872759327564;4.86630755434299;1.9023163435617;5.33333333333333;6.66666666666667;4.66666666666667;5;6;27.7283;44.3340333333333;24.4350333333333;40.4614;33.8106333333333;257.666666666667;591.666666666667;25.6666666666667;344.666666666667;104;1566.66666666667;900;1466.66666666667;11.1468252143828;14.3512543641082;6.95788523211855;38.8758252143828;16.5821747856172;58.8576876974415;30.1551789692252;40.7685185654519;26.8527481012148;0.192115216794261;15.9342307714796;0.036515252196029;2.18687309320981;1.80264265962129;38.9921644833196;7.12370294036041;1.93883159575773;1.86580109136567;3.21455025366432;3.21455025366432;3.46410161513775;8.54788358699765;2.11878307966901;9.88121692033099;3.45211641300235;9.46410161513775;2.53589838486225;2107.92156716832;321.455025366432;458.257569495584;3574.58823383498;0;1888.1216920331;1245.21164130024;1358.25756949558;441.742430504416;n;=14
15;66.04504;66.91652;61.11996;62.98883;67.44494;21.88795;37.42507;16.74055;180;33.42754;2.14028645133106;9.61799802155139;2.05392884259245;4.18259210325476;1.9392329162644;5;6.5;5.8;6.3;5.4;19.72696;37.39817;16.73137;33.48971;33.42754;38.1;477.7;80.8;173.7;157.2;1310;1210;240;8.36975211490758;5.82453287112175;6.81481090618889;30.2577021149076;13.5181978850924;43.2496028711218;31.6005371288782;40.2423509061889;26.6127290938111;0.252920586274442;4.91464863984239;0.333891391379553;2.3932070376055;1.88736586505661;14.5326466613938;4.703349381709;2.27312430764395;1.60534152488484;2.70801280154532;6.02310366653088;3.33999334663343;7.70801280154532;2.29198719845468;12.5231036665309;0.476896333469116;8.73999334663343;2.06000665336657;211.869981094276;1145.47418613913;691.937697901898;451.869981094276;28.1300189057239;2455.47418613913;164.525813860866;1901.9376979019;518.062302098102;n;=15
16;62.1788636363636;66.1180545454545;56.8849545454546;61.4851454545455;63.8164545454545;23.9828272727273;43.4073909090909;18.2073181818182;180;32.6458272727273;2.08517113377827;15.6304291216874;2.11804726375955;4.23931515255358;1.97932356363768;5.18181818181818;7;6.09090909090909;6.63636363636364;5.45454545454545;23.5019181818182;43.4073909090909;17.2352272727273;43.1132454545454;32.6458272727273;301.272727272727;491.909090909091;37.2727272727273;351.454545454545;124.454545454545;1527.27272727273;1000;1972.72727272727;12.4629272373781;15.6602166870356;10.7494374718951;36.4457545101054;11.5199000353491;59.0676075961265;27.7471742220553;43.3952647446223;21.8963898008322;0.317318120189214;16.181689500774;0.442699264550781;2.40248925396748;1.76785301358905;31.8121186224615;1;2.42202282818846;1.5366242990869;4.26188178668019;7.0427267446636;4.4127913244031;9.44369996849838;0.919936395137987;14.0427267446636;0;9.86733677894856;1.04175413014235;4463.65117568363;814.973507656426;219.089023002066;6436.3784484109;0;2342.24623492915;712.299219616302;1219.08902300207;780.910976997934;n;=16
17;63.3344666666667;63.4004444444444;67.1102;62.0955;67.8806111111111;24.1267444444444;41.0871;20.3497222222222;180;32.0917111111111;1.89973742611986;20.0493489451968;1.94720982734262;4.34181146398533;1.80888075116753;6.11111111111111;8.33333333333333;6.66666666666667;7.88888888888889;6;22.5358777777778;41.0803777777778;19.5947333333333;39.4254555555556;32.0917111111111;143;476.444444444445;43.4444444444444;323.666666666667;134.888888888889;1388.88888888889;1088.88888888889;911.111111111111;10.4021642155745;10.8441004442508;9.15560069854027;34.5289086600189;13.72458022887;51.9312004442508;30.2429995557492;41.2473118096514;22.9361104125708;0.18613539586384;14.6418500132172;0.142538687491014;2.0858728219837;1.71360203025602;34.691198958414;5.40749893197962;1.95141943865855;1.66634206367652;3.58623913189167;7.51664818918645;3.46410161513775;9.69735024300278;2.52487197921944;15.8499815225198;0.81668514414688;9.46410161513775;2.53589838486225;1838.77978864004;627.384340823957;518.277060182207;2749.89089975115;0;2016.27322971285;761.504548064932;1607.1659490711;570.611828706682;n;=17
18;67.5997307692308;65.3727384615385;61.4379461538462;67.3750769230769;68.3842230769231;23.1111;41.4145846153846;20.4308461538462;180;34.7079307692308;1.99577721987729;15.9152143381889;1.96296349355697;4.43914317978871;1.86589927059263;4.61538461538462;6;4.69230769230769;6.53846153846154;4.76923076923077;22.4793692307692;41.4145846153846;20.3482846153846;36.7877923076923;34.6933307692308;72.9230769230769;458.153846153846;115.692307692308;228.615384615385;181;1238.46153846154;1376.92307692308;384.615384615385;8.94551203667701;10.0974185478143;6.85869549615482;32.056612036677;14.165587963323;51.5120031631989;31.3171660675703;41.5666262653856;27.849235273076;0.239170869960846;23.6777894684906;0.385290499945058;2.23494808983814;1.75660634991645;39.5930038066795;1;2.25118977053769;1.48060877064757;3.30500785522167;4.70814896394185;2.52170068782446;7.92039247060628;1.31037676016295;10.7081489639418;1.29185103605816;7.29093145705523;2.24753008140631;405.886178310607;373.136394942612;724.745755597375;790.501562925992;0;1611.59793340415;865.325143518926;2101.66883252045;652.177321325702;n;=18
19;57.1464823529412;61.2940705882353;55.9656882352941;57.7389647058824;61.7813058823529;23.7982470588235;42.3397117647059;19.7861882352941;180;31.3641411764706;2.07756612281939;19.0584310754086;2.06923366289727;4.22786543625171;1.84243100308044;7.35294117647059;9.17647058823529;7.70588235294118;8.94117647058824;7.11764705882353;22.3378823529412;42.2928764705882;19.0250176470588;35.4881;31.3623470588235;42.2352941176471;544.352941176471;33.3529411764706;210.705882352941;127.352941176471;1541.17647058824;923.529411764706;205.882352941176;8.32120517571806;12.6060572033786;8.84296030722029;32.1194522345416;15.4770418831055;54.9457689680845;29.7336545613273;40.2071014836909;22.5211808692503;0.244782497712058;32.2129236871862;0.21502651790306;2.32234862053145;1.83278362510733;51.2713547625948;1;2.0574575209835;1.62740448517738;5.06138785895959;9.32225357758015;5.26643087086948;12.4143290354302;2.291553317511;18.4987241658154;0;12.384077929693;1.85121618795405;174.894926439041;837.45061311803;646.654285306981;380.777279380218;30.9874265021352;2378.62708370627;703.725857470205;1570.18369707169;276.875126457725;n;=19
20;60.616375;63.1658083333333;66.8255833333333;61.30925;59.607275;27.4520666666667;46.536;23.2892583333333;180;30.3167416666667;2.0874921425732;26.8199435059048;2.0580423005411;4.55417270953396;1.85578161291707;5.66666666666667;6.41666666666667;4.83333333333333;6.5;5.41666666666667;25.857075;46.5014416666667;21.688775;43.2367833333333;29.1243916666667;23.6666666666667;421.75;80.5;120.75;101.416666666667;1266.66666666667;841.666666666667;108.333333333333;8.49650458743138;9.59977845132613;9.31861222358569;35.948571254098;18.9555620792353;56.1357784513261;36.9362215486739;39.6353538902524;20.998129443081;0.293108893435542;44.9525734115387;0.277200724515254;2.38060103600874;1.79438324913766;71.7725169174435;1;2.13298233743232;1.57858088840181;2.99494523651051;3.42340429539033;2.50302846870576;8.66161190317717;2.67172143015616;9.840070962057;2.99326237127634;7.91969513537243;2.9136381979609;116.450015288132;960.429196986557;625.893301004592;224.783348621465;0;2227.09586365322;306.23746968011;1467.55996767126;215.773365662075;n;=20
