Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo1073.51.gml;51;64;7;0.35;55.88;2578;161.04;24;5708;55.88;1.41527277860117;1;1
grafo1210.51.gml;51;60;5;0.04;24.86;2146;8812.24;13;4567;24.86;654.359497645212;1;1
grafo1260.51.gml;51;66;6;14.48;55.79;310;199.41;20;747;55.79;2.03437301082113;1;1
grafo1305.51.gml;51;62;6;5.89;55.77;2611;160.17;21;5710;55.77;1.55719779805445;1;1
grafo1383.51.gml;51;74;7;0.21;25.2;0;182.34;181;19511;25.2;4.13630150361258;1;1
grafo1404.51.gml;51;70;9;2.62;40.55;517;186.54;16;1242;40.55;2.40147763254039;1;1
grafo1470.51.gml;51;69;9;0.33;52.45;1526;167.13;38;3731;52.45;2.1824392946173;1;1
grafo1486.51.gml;51;60;4;4.42;66.4;1604;173.92;8;3454;66.4;1.74834390415786;1;1
grafo1504.51.gml;51;68;7;0.03;17.27;6330;9624.84;87;15052;17.27;1041.46101733839;1;1
grafo1520.51.gml;51;65;5;0;29.59;3845;3598.72;47;8687;29.59;367.524267884819;1;1
grafo1532.51.gml;51;61;7;4.82;58.28;793;187.73;16;1717;58.28;1.70435662163139;1;1
grafo1621.51.gml;51;61;5;0.96;80.54;5683;156.31;10;12191;80.54;1.33496046751461;1;1
grafo1906.51.gml;51;62;7;3.63;66.89;2634;161.04;6;5839;66.89;1.62340597255851;1;1
grafo3169.51.gml;51;66;6;3.09;61.74;4094;157.25;39;10113;61.74;1.58902601996698;1;1
grafo3172.51.gml;51;71;8;1.78;53.1;533;180.54;23;1348;53.1;2.08801119577049;1;1
grafo3333.51.gml;51;71;7;2.33;62.07;3121;154.76;29;7700;62.07;1.4587931439305;1;1
grafo3362.51.gml;51;63;6;1.24;49.46;0;153.73;23;16201;49.46;1.5438937228092;1;1
grafo3443.51.gml;51;73;6;0.14;6.17;0;199.37;280;20394;6.17;7.42598299026254;1;1
grafo3484.51.gml;51;68;6;0.86;62.27;4125;155.78;33;9933;62.27;1.6209539400253;1;1
grafo3492.51.gml;51;69;8;0.13;27.88;3714;175.5;97;9461;27.88;2.66307381387739;1;1
grafo3507.51.gml;51;71;7;0.05;22.79;0;185.25;182;18688;22.79;3.04810679204097;1;1
grafo3616.51.gml;51;73;6;0.01;21.53;0;35139.22;138;20333;21.53;2797.97254447022;1;1
grafo3677.51.gml;51;71;7;0.13;43.68;2202;158.92;39;5503;43.68;1.77737288135593;1;1
grafo3717.51.gml;51;72;8;3.37;36.08;4932;165.48;97;12677;36.08;3.1610202875714;1;1
grafo3726.51.gml;51;70;5;0.02;34.87;5496;163.4;80;13696;34.87;2.44173316014103;1;1
grafo3790.51.gml;51;74;7;0.07;15.75;921;25821.63;83;2414;15.75;1813.51247145617;1;1
grafo3826.51.gml;51;63;6;7.26;74.31;2075;160.22;13;4575;74.31;1.40482744018632;1;1
grafo3943.51.gml;51;70;6;0.01;38.43;3002;158.23;42;7677;38.43;1.66873889875666;1;1
grafo3958.51.gml;51;62;6;3.88;70.97;0;153.98;22;15261;70.97;1.19170191045647;1;1
grafo4109.51.gml;51;75;7;2.94;39.67;1445;162.19;46;3952;39.67;2.63314447592068;1;1
grafo4154.51.gml;51;65;6;2.14;62.72;3215;155.91;26;7369;62.72;1.48942786069652;1;1
grafo4160.51.gml;51;70;7;0.01;31;0;170.71;114;17885;31;4.28866509094646;1;1
grafo4164.51.gml;51;65;6;0.83;58.59;5927;154.15;26;14259;58.59;1.50387961438984;1;1
grafo4242.51.gml;51;70;7;3.77;33.97;5946;156.44;42;14354;33.97;1.72860538827258;1;1
grafo4328.51.gml;51;66;6;0.24;64.21;3487;159.8;22;8124;64.21;1.55084184986398;1;1
grafo4369.51.gml;51;67;6;0;27.09;4480;41567.36;35;10578;27.09;2914.11201054217;1;1
grafo4451.51.gml;51;72;9;1.75;50.79;712;175.77;28;1812;50.79;1.84090238867591;1;1
grafo4567.51.gml;51;64;6;0;75.47;5064;158.89;7;11171;75.47;1.34280289712397;1;1
grafo4577.51.gml;51;68;5;0.13;64.48;4877;152.54;24;11646;64.48;1.5560589834418;1;1
grafo4602.51.gml;51;64;7;0.57;70.7;4584;154.62;11;10057;70.7;1.37122291904219;1;1
grafo4726.51.gml;51;67;8;0.15;67.4;1556;169.18;17;3665;67.4;1.87079831932773;1;1
grafo4756.51.gml;51;70;9;10.77;53.96;315;193.43;22;791;53.96;2.35021189536753;1;1
grafo4766.51.gml;51;73;7;0.03;54.2;1009;169.89;22;2517;54.2;2.20319279574294;1;1
grafo4862.51.gml;51;67;6;0.95;83.82;5675;151.92;15;13184;83.82;1.09672762271415;1;1
grafo5066.51.gml;51;70;8;0.03;44.16;2003;25933.61;39;4905;44.16;5564.86858411172;1;1
grafo5102.51.gml;51;60;5;7.9;65.69;2297;169.53;10;4894;65.69;1.92939985988947;1;1
grafo5366.51.gml;51;72;7;0.01;18.42;0;190.34;211;19277;18.42;3.84715919404611;1;1
