graph name;iterations-rm;time-rm;cr-rm;n;m;ar-rm;asp-rm;cn-rm;tr-rm;iterations-rm-1;time-rm-1;cr-rm-1;ar-rm-1;asp-rm-1;cn-rm-1;tr-rm-1;iterations-fa;time-fa;cr-fa;ar-fa;asp-fa;cn-fa;tr-fa
grafo1115.31.graphml;700;156;87.5636;31;43;3.4585;27.1110883291754;8;87.5636;1200;273;69.3208;7.2921;2.31448436140998;15;69.3208;900;389;61.5413;13.6704;2.27003950896322;12;61.1897
grafo11239.31.graphml;700;140;89.8197;31;38;33.8323;6.01260898192856;2;89.8197;700;95;89.6041;36.7784;1.72982110938888;2;89.6041;200;58;88.9317;36.9761;1.46981291574828;3;88.9317
grafo1228.31.graphml;1500;280;88.7242;31;37;15.3674;18.5439229054965;5;88.7242;700;75;61.1679;21.0375;1.51959087256458;8;61.1679;18300;4936;68.0702;32.124;1.5520842635139;6;68.0702
grafo1257.31.graphml;700;157;59.3795;31;50;2.327;42.5592953461344;29;59.3795;2200;457;66.3064;3.5588;2.36053825125536;23;66.3064;1400;524;56.2732;14.3045;2.69723804691457;24;56.2123
grafo1349.31.graphml;600;140;89.8221;31;41;7.6175;7.29875983697674;3;89.8221;400;80;88.8234;4.7543;2.17061811341659;5;88.8234;1100;371;75.0658;15.1869;2.07698575621968;6;74.9458
grafo1368.31.graphml;600;125;88.8071;31;44;16.4391;7.52222273943745;11;88.8071;1300;245;87.9735;19.8984;2.00394436331165;9;87.9735;700;234;56.9639;23.0415;1.9487371912085;14;56.9528
grafo1400.31.graphml;1600;312;87.9924;31;44;30.9004;31.2731585903566;5;87.9924;1800;246;69.9632;33.8576;1.82610524966248;8;69.9632;800;223;63.9626;34.4002;1.54439224494317;10;63.9626
grafo1429.31.graphml;900;172;77.6843;31;45;5.1944;26.2424373838509;16;77.6843;400;80;77.178;9.4065;1.93852262704278;13;77.178;200;68;44.7215;5.072;1.89165348513828;16;44.7215
grafo1430.31.graphml;700;188;78.3962;31;50;8.3711;21.5787003264012;17;78.3962;1300;320;54.6294;4.8807;2.5824132603314;31;54.6294;800;305;54.5749;18.1477;2.5556660554147;26;54.5749
grafo145.31.graphml;1700;296;89.9796;31;37;29.9281;9.29654509420658;2;89.9796;2700;356;81.7793;33.2578;1.76306752809662;3;81.7793;100;21;70.2647;27.0771;2.00391803094476;5;70.2485
grafo1589.31.graphml;600;188;80.7309;31;46;12.0014;15.524419222006;14;80.7309;800;166;80.7223;5.7658;2.65706615645954;14;80.7223;400;98;69.3641;11.5256;1.83940328985924;14;69.3641
grafo161.31.graphml;1900;467;88.9208;31;40;19.4136;53.9936587130177;6;88.9208;2600;329;89.5651;16.551;1.98485325945673;5;89.5651;600;200;70.7635;24.5301;1.62996923481531;9;70.7601
grafo1622.31.graphml;1200;203;89.8084;31;41;5.9903;10.1625804232472;5;89.8084;1200;215;80.9122;6.7932;2.22166069716753;6;80.9122;1300;452;62.8308;19.1931;2.08591619801892;9;62.6776
grafo1637.31.graphml;100;31;24.4893;31;41;14.4825;60.4502582413855;7;16.3255;500;97;72.1837;26.1112;2.35365445561719;5;72.1837;100;31;78.2691;23.0528;1.85051045487408;7;78.2691
grafo1650.31.graphml;800;172;88.4601;31;39;23.3101;17.8409724470672;3;88.4601;700;110;56.3507;25.7426;1.69258272079041;5;56.3507;300;97;68.0835;24.3988;1.74701372513511;5;67.9657
grafo1946.31.graphml;700;125;89.9823;31;38;35.0283;9.88420521794943;2;89.9823;1400;132;89.6172;39.5271;1.50748157899812;2;89.6172;400;104;88.2773;43.9268;1.42434566927735;2;88.0977
grafo1991.31.graphml;300;77;88.723;31;39;25.3513;5.73528424037434;5;88.723;200;33;75.8292;29.8386;1.9277160681595;5;75.8292;4000;1224;82.9628;31.5415;1.66725815753857;6;82.9628
grafo2034.31.graphml;1400;266;88.803;31;41;7.2369;23.027952679728;10;88.803;3000;502;83.1459;24.9173;1.96831811152205;9;83.1459;17500;5314;66.0961;23.0168;2.21582921186992;9;66.0961
grafo2462.31.graphml;1600;389;85.4916;31;43;6.2345;11.0302332384194;8;85.4916;1200;234;78.9191;5.3766;2.10986150622127;7;78.9191;200;76;51.1384;13.8959;2.02440835496435;11;50.5217
grafo6114.31.graphml;700;171;89.6608;31;39;24.155;12.9512554454605;3;89.6608;1700;249;82.6466;32.1174;1.77775731720997;5;82.6466;200;56;72.6452;24.3812;1.57512359796827;7;72.6354
grafo9923.31.graphml;1200;280;89.9901;31;41;15.109;17.7304960406144;3;89.9901;600;71;89.7853;21.5089;1.87025782588206;3;89.7853;4200;1140;89.115;32.2424;1.87020431942417;3;89.115
grafo10024.32.graphml;900;156;89.8706;32;38;40.9208;13.1113703261889;3;89.8706;1100;167;88.6547;40.7261;1.80182250887964;3;88.6547;1700;480;77.9251;40.6912;1.56050302832323;3;77.9251
grafo10026.32.graphml;700;109;89.3188;32;38;35.4555;5.19221491692064;3;89.3188;400;76;89.5896;38.6299;1.67321653699594;3;89.5896;23600;5931;83.5912;45.4805;1.51384916065888;3;83.5912
grafo10048.32.graphml;400;94;89.8382;32;39;36.2273;2.3271558028266;1;89.8382;1300;167;89.166;37.3116;1.78339715575708;2;89.166;200;54;79.6045;37.2348;1.7079478387825;2;78.801
grafo10058.32.graphml;1500;249;89.8821;32;40;16.3482;23.1502456259403;3;89.8821;700;125;85.5008;23.3852;2.36538659842315;3;85.5008;1800;533;74.9692;33.6946;1.63082853742597;3;74.9692
grafo10509.32.graphml;700;109;87.1172;32;38;33.4185;13.0733982275529;3;87.1172;1300;193;69.5527;21.436;1.73786704306363;6;69.5527;100;22;70.8821;29.1162;1.88287502774671;5;70.8821
grafo10749.32.graphml;700;187;88.9629;32;39;17.3126;11.918217418969;6;88.9629;700;114;87.0286;11.3937;1.96180184194442;6;87.0286;300;99;77.2273;21.4012;1.44461779703346;6;77.2273
grafo1411.32.graphml;900;219;89.8043;32;41;30.288;4.7970540695904;4;89.8043;600;97;89.4642;28.8196;1.72910153419046;4;89.4642;700;159;78.3235;31.3401;1.68890768257421;4;78.2441
grafo1421.32.graphml;800;187;89.8327;32;45;25.9216;7.34281572258987;4;89.8327;1300;280;76.2053;25.0698;2.07829645409026;8;76.2053;600;259;68.2277;24.3525;1.86618975073851;9;68.1199
grafo1499.32.graphml;1700;358;87.3391;32;50;14.6089;11.6752586147681;15;87.3391;1800;360;67.9287;10.9632;3.74841668828363;18;67.9287;1200;476;56.3969;16.1944;2.15220557472558;22;56.3966
grafo1507.32.graphml;1200;359;89.7065;32;45;15.9748;11.963022088429;3;89.7065;3100;625;89.3689;13.2376;2.19704460454076;5;89.3689;300;77;65.2371;17.0765;1.8191101975343;11;64.4027
grafo1509.32.graphml;1000;281;88.6041;32;44;15.5185;12.2437133344778;10;88.6041;3000;545;77.6185;7.1463;2.10582161093492;12;77.6185;200;82;57.6426;22.5771;1.97835391209515;18;57.3158
grafo1607.32.graphml;200;62;88.995;32;42;15.1341;12.7453326717892;5;88.995;1200;165;67.6076;19.9058;1.91111357982765;6;67.6076;100;32;55.9592;21.5639;1.76441418891774;9;45.5375
grafo1725.32.graphml;1100;250;89.685;32;41;19.2078;40.6567591691351;5;89.685;200;45;80.3901;20.0877;1.68279339492983;4;80.3901;400;137;74.1726;26.6055;1.38450517654548;6;74.1726
grafo1767.32.graphml;1900;343;86.7961;32;42;19.2488;9.49130833448018;6;86.7961;1800;318;88.6071;36.43;2.33533097224543;4;88.6071;700;212;75.5624;19.8526;2.1206811221266;4;75.5624
grafo1784.32.graphml;400;63;89.954;32;36;32.5119;7.71974665057773;2;89.954;1000;142;89.8037;34.5306;1.58590668848861;2;89.8037;200;55;87.9265;41.3578;1.78894447771823;2;87.9265
grafo1908.32.graphml;400;78;89.9467;32;39;15.5437;12.5778000005393;3;89.9467;500;86;85.0575;15.0851;1.80498378923229;3;85.0575;1400;411;75.7372;20.5735;1.59817405441474;4;75.7372
grafo1976.32.graphml;900;219;81.534;32;43;32.5269;17.0109695554893;6;81.534;2000;301;84.269;30.4737;1.91682394031858;5;84.269;2100;501;82.6619;31.8248;2.01833599226119;5;82.6619
grafo1992.32.graphml;100;32;89.8986;32;36;33.8456;4.38005443444422;1;89.8986;300;49;89.5413;33.314;1.67810123022194;1;89.5413;1100;292;87.7291;36.7832;1.48186827139785;2;87.7291
grafo1993.32.graphml;2100;468;86.8911;32;42;21.6915;12.6017868274855;8;86.8911;1100;160;77.6881;9.1239;1.96357533329274;7;77.6881;1700;569;72.1458;13.9437;1.74485226442252;7;72.1458
grafo2075.32.graphml;1100;203;89.7026;32;41;7.3092;11.5956512837721;3;89.7026;1200;191;86.0225;16.6402;2.19480885752449;3;86.0225;0;0;69.9979;13.0532;2.44211024301205;5;69.9979
grafo2116.32.graphml;1500;265;89.0259;32;41;27.8027;10.9272446528089;3;89.0259;400;71;89.5176;23.5523;1.74085190920079;4;89.5176;200;48;75.3015;29.0391;1.61684172378319;5;74.7539
grafo2539.32.graphml;3000;562;89.8332;32;39;36.4665;9.72753447215549;4;89.8332;1000;171;58.6728;36.1142;2.96819501302853;6;58.6728;400;124;59.8739;28.5155;1.58376184968889;7;59.7907
grafo2605.32.graphml;900;203;89.4952;32;41;5.994;8.04347215030655;5;89.4952;1100;272;87.59;12.1633;1.81934734550512;7;87.59;200;72;67.1947;11.0093;1.861302958533;10;66.5549
