Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo1115.31.gml;31;43;8;1.54;60.61;2315;156.44;20;4787;60.61;1.57394059405941;1;1
grafo11239.31.gml;31;38;4;0.7;80.12;4233;1660.12;7;6933;80.12;99.7298036801423;1;1
grafo1228.31.gml;31;37;7;16.75;50.65;0;155.69;16;11587;50.65;1.72023083800699;1;1
grafo1257.31.gml;31;50;9;0.86;43.49;5339;164.14;73;10962;43.49;2.72274931477967;1;1
grafo1349.31.gml;31;41;7;1.63;53.23;2053;157.61;12;3578;53.23;1.49545060658579;1;1
grafo1368.31.gml;31;44;8;4.07;41.36;0;155.4;45;13118;41.36;1.89197215777262;1;1
grafo1400.31.gml;31;44;7;7.83;60.48;1287;158.29;12;2309;60.48;1.29620836533762;1;1
grafo1429.31.gml;31;45;8;2.24;71.45;4273;152.12;21;7790;71.45;1.95875522526707;1;1
grafo1430.31.gml;31;50;9;0.09;48.23;1349;155.78;31;2687;48.23;2.16048556681323;1;1
grafo145.31.gml;31;37;5;0.53;74.24;6307;151.98;7;10356;74.24;1.27290433740355;1;1
grafo1589.31.gml;31;46;8;1.56;41.82;594;168.86;16;1138;41.82;1.88473788413532;1;1
grafo161.31.gml;31;40;7;3.53;34.69;3081;157.87;26;5407;34.69;2.00064961429151;1;1
grafo1622.31.gml;31;41;8;1.07;75.22;2859;152.58;8;4929;75.22;1.19601423487544;1;1
grafo1637.31.gml;31;41;6;0;54.68;6513;153.69;13;11098;54.68;1.26511268693393;1;1
grafo1650.31.gml;31;39;4;1.3;66.44;2567;156.6;9;4291;66.44;1.29198739095374;1;1
grafo1946.31.gml;31;38;5;1.46;88.26;4235;151;2;6818;88.26;1.03421722244543;1;1
grafo1991.31.gml;31;39;4;0;33.7;2238;17576.52;7;3701;33.7;1086.21120363361;1;1
grafo2034.31.gml;31;41;8;1.57;74.43;2205;153.73;9;3771;74.43;1.31383170819791;1;1
grafo2462.31.gml;31;43;8;2.47;60.92;3377;152.99;13;6033;60.92;1.4506031695971;1;1
grafo6114.31.gml;31;39;4;1.64;52.04;0;157.61;30;12049;52.04;1.74941565245426;1;1
grafo9923.31.gml;31;41;8;0.06;88.15;6170;150.21;4;10369;88.15;1.00961345884238;1;1
grafo10024.32.gml;32;38;4;1.18;88.89;4197;150.91;3;6820;88.89;1.02482555018787;1;1
grafo10026.32.gml;32;38;5;1.58;54.41;0;477.08;15;11546;54.41;23.6117288759827;1;1
grafo10048.32.gml;32;39;4;0.06;87;2711;157.39;3;4455;87;1.20698559391139;1;1
grafo10058.32.gml;32;40;7;3.03;87.72;2102;154.88;4;3497;87.72;1.20519911504425;1;1
grafo10509.32.gml;32;38;7;7.39;83.04;2704;156.3;5;4546;83.04;1.24994851376399;1;1
grafo10749.32.gml;32;39;5;7.52;81.84;0;150.8;6;11438;81.84;1.05666644072392;1;1
grafo1411.32.gml;32;41;6;5.67;85.91;2505;152.6;5;4263;85.91;1.13525019191849;1;1
grafo1421.32.gml;32;45;6;1;63.76;2556;151.98;11;4666;63.76;1.27870229007634;1;1
grafo1499.32.gml;32;50;8;4.06;58.78;1372;157.15;19;2739;58.78;2.17262180974478;1;1
grafo1507.32.gml;32;45;8;2.32;54.17;5430;156.31;26;9866;54.17;1.69669959046013;1;1
grafo1509.32.gml;32;44;8;1.65;65.49;1276;158.71;13;2327;65.49;1.60142574257426;1;1
grafo1607.32.gml;32;42;6;10.82;55.26;43;200.19;9;76;55.26;2.21131919010435;1;1
grafo1725.32.gml;32;41;5;1.05;87.17;5541;150.7;10;9492;87.17;1.0610130206558;1;1
grafo1767.32.gml;32;42;6;0;30.06;5330;17100.31;30;9202;30.06;903.489314729778;1;1
grafo1784.32.gml;32;36;5;25.85;88.35;6556;150.82;2;10453;88.35;1.03739760977575;1;1
grafo1908.32.gml;32;39;6;0.44;88.44;6064;150.92;4;10187;88.44;1.03458464844537;1;1
grafo1976.32.gml;32;43;5;1.72;48.54;0;159.56;24;12202;48.54;1.54563894523327;1;1
grafo1992.32.gml;32;36;4;6.68;76.75;0;152.44;3;11149;76.75;1.24751697034655;1;1
grafo1993.32.gml;32;42;6;0.55;71;4858;153.2;20;8622;71;1.57052578361982;1;1
grafo2075.32.gml;32;41;6;6.94;60.17;5689;153.74;15;9820;60.17;1.32112593029254;1;1
grafo2116.32.gml;32;41;5;0.37;87.3;0;150.31;8;11930;87.3;1.04067453625632;1;1
grafo2539.32.gml;32;39;5;3.82;84.26;4914;150.74;6;8067;84.26;1.04596774193548;1;1
grafo2605.32.gml;32;41;8;0.01;60.07;5276;151.42;14;9205;60.07;1.31756023442587;1;1
grafo2968.32.gml;32;41;5;3.06;87.45;0;150.4;2;11809;87.45;1.04100690215185;1;1
grafo3008.32.gml;32;47;6;1.91;55.94;2089;156.93;36;4154;55.94;1.68399566774973;1;1
grafo3061.32.gml;32;46;7;0.65;31.79;6196;167.56;73;11714;31.79;2.52229299363057;1;1
grafo3066.32.gml;32;48;8;1.56;26.78;4466;168.14;63;8571;26.78;2.3956228956229;1;1
grafo3107.32.gml;32;48;7;0;25.8;5648;188.99;171;12077;25.8;3.45290240272167;1;1
grafo3230.32.gml;32;40;8;13.79;81.81;0;151.04;5;11819;81.81;1.1020745744021;1;1
grafo3901.32.gml;32;38;5;9.63;82.05;0;150.7;6;11406;82.05;1.0595157581496;1;1
grafo5235.32.gml;32;38;5;1.19;42.61;0;155.74;12;11500;42.61;1.80676153358107;1;1
grafo5335.32.gml;32;37;4;4.22;80.1;0;151.34;6;11379;80.1;1.24870390653523;1;1
grafo5478.32.gml;32;42;5;3.19;80.97;3340;154.94;6;5774;80.97;1.26432245789585;1;1
grafo5807.32.gml;32;41;5;11.99;88.81;3687;150.57;4;6179;88.81;1.02488900847572;1;1
grafo5848.32.gml;32;39;5;27.65;83.67;2611;153.75;4;4305;83.67;1.15498633879781;1;1
grafo6072.32.gml;32;38;4;15.43;86.82;3855;153.12;3;6224;86.82;1.09803786574871;1;1
grafo743.32.gml;32;37;9;0.2;87.8;0;150.43;4;11426;87.8;1.02670961680424;1;1
grafo9872.32.gml;32;43;8;9.94;44.94;2480;160.09;27;4571;44.94;1.62120614899488;1;1
grafo9910.32.gml;32;37;5;13.57;81.35;0;151.52;5;11251;81.35;1.05917800798971;1;1
grafo9956.32.gml;32;39;4;2.47;80.01;5120;156.63;5;8573;80.01;1.2053943325367;1;1
grafo9975.32.gml;32;39;7;3.89;87.2;3528;153.16;6;5924;87.2;1.18640068640069;1;1
grafo9980.32.gml;32;37;7;4.03;80.23;3494;153.56;4;5601;80.23;1.13150573386714;1;1
grafo10702.33.gml;33;41;9;7.11;44.4;953;166.13;11;1628;44.4;1.99098135126873;1;1
grafo10766.33.gml;33;38;5;26.16;89.58;6027;150.78;3;9606;89.58;1.02760695187166;1;1
grafo10902.33.gml;33;42;8;2.48;54.76;1263;164.91;21;2245;54.76;1.48620245925079;1;1
grafo10981.33.gml;33;39;5;0.83;88.15;5432;152.51;4;8967;88.15;1.09301703975944;1;1
grafo11292.33.gml;33;46;7;0.21;59.49;4943;154.11;25;9220;59.49;1.49398258115598;1;1
grafo11434.33.gml;33;43;8;0.37;23.74;0;205.42;163;13682;23.74;3.46722567120858;1;1
grafo11574.33.gml;33;44;8;4.25;75.28;6437;152.18;18;11380;75.28;1.30119299305346;1;1
grafo11674.33.gml;33;39;8;1.69;66.96;4545;152.66;10;7695;66.96;1.32040153973885;1;1
grafo1174.33.gml;33;41;5;14.93;64.4;538;178.36;3;919;64.4;2.15029331570685;1;1
grafo1423.33.gml;33;55;7;1.11;28.19;2680;161.31;58;5757;28.19;2.45938580861545;1;1
grafo1502.33.gml;33;43;5;3.16;66.84;4885;152.21;5;8537;66.84;1.40897592819257;1;1
grafo1541.33.gml;33;44;5;3.58;66.08;489;174.44;11;858;66.08;1.74414715719064;1;1
grafo1698.33.gml;33;43;5;3.73;36.6;0;168.21;60;12467;36.6;2.59447157162956;1;1
grafo1711.33.gml;33;46;8;1.66;52.38;2285;156.7;20;4173;52.38;1.73221649484536;1;1
grafo178.33.gml;33;42;8;0.08;58.74;4048;18412.4;9;7092;58.74;957.583664890023;1;1
grafo1877.33.gml;33;48;7;2.76;63.46;1351;155.45;18;2517;63.46;1.44020537124803;1;1
grafo1975.33.gml;33;46;7;1.83;53.3;1392;158.96;13;2598;53.3;1.62589928057554;1;1
grafo1985.33.gml;33;43;6;9.96;61.88;1902;156.96;7;3344;61.88;1.40687174216284;1;1
grafo2008.33.gml;33;42;5;15.6;61.22;2382;154.06;9;4103;61.22;1.58604206500956;1;1
grafo2049.33.gml;33;38;5;22.63;88.31;2273;161.41;1;3664;88.31;1.30837606837607;1;1
grafo2064.33.gml;33;42;5;1.25;62.24;5791;154.47;16;9891;62.24;1.36423841059603;1;1
grafo2155.33.gml;33;40;5;27.6;83.79;601;176.85;3;996;83.79;1.73072797962193;1;1
grafo2203.33.gml;33;41;5;10.05;83.37;6988;150.52;5;11833;83.37;1.04487050117726;1;1
grafo2654.33.gml;33;49;9;0.1;40.33;2400;36663.04;50;4679;40.33;4382.8497399156;1;1
grafo2687.33.gml;33;46;7;0;11.22;2505;135798.52;33;4829;11.22;5488.57528804132;1;1
grafo2749.33.gml;33;40;5;8.24;75.66;0;151.86;8;11702;75.66;1.10796793965111;1;1
grafo2828.33.gml;33;37;5;20.97;89.19;2898;153.99;1;4682;89.19;1.09764062916556;1;1
grafo3014.33.gml;33;44;6;0.08;64.66;5698;152.6;14;10319;64.66;1.37146702557201;1;1
grafo3082.33.gml;33;43;6;0;84.7;1179;160.56;3;2030;84.7;1.2861443624113;1;1
grafo3214.33.gml;33;44;9;2.71;34.75;0;165.74;65;13086;34.75;2.39796837879905;1;1
grafo3260.33.gml;33;48;7;0.62;76.38;5226;152.43;26;9986;76.38;1.34423076923077;1;1
grafo3619.33.gml;33;45;8;2.9;61.75;2504;153.72;13;4588;61.75;1.2687702387228;1;1
grafo3877.33.gml;33;51;9;1.85;47.59;312;176.01;31;650;47.59;3.08855222447455;1;1
grafo3907.33.gml;33;42;7;3.17;55.05;2679;153.25;14;4662;55.05;1.46218419565744;1;1
grafo3952.33.gml;33;39;8;1.03;67.48;0;151.37;10;11647;67.48;1.34454791228597;1;1
grafo5133.33.gml;33;46;9;2.77;62.67;2075;156.25;16;3770;62.67;1.38488855307896;1;1
grafo5177.33.gml;33;41;5;0.07;86.63;5715;150.94;6;9715;86.63;1.06180193596426;1;1
grafo5203.33.gml;33;41;6;9.61;73.44;2444;163.77;2;4194;73.44;1.467429516785;1;1
grafo5206.33.gml;33;43;8;1.7;60.58;4055;154.96;11;7187;60.58;1.56976837380781;1;1
grafo5304.33.gml;33;53;9;0.02;26.51;0;96415.85;57;16398;26.51;7069.9218231505;1;1
grafo5395.33.gml;33;46;7;0.14;37.32;4367;159.65;29;8128;37.32;1.6944008782936;1;1
grafo5416.33.gml;33;38;4;1.2;89.51;2647;155.77;2;4262;89.51;1.15272479564033;1;1
grafo5508.33.gml;33;41;4;0.37;81.89;2035;157.71;2;3472;81.89;1.39863343427285;1;1
grafo5583.33.gml;33;42;6;18.25;88.61;5158;150.6;3;8982;88.61;1.03839406207827;1;1
grafo5657.33.gml;33;43;6;1;64.23;2813;152.95;9;5066;64.23;1.3343902250406;1;1
grafo5730.33.gml;33;41;5;1.45;51.87;3446;155.29;9;5813;51.87;1.37178646857476;1;1
grafo5821.33.gml;33;43;6;0.06;79.98;5749;12819;8;9914;79.98;1010.71334468211;1;1
grafo598.33.gml;33;49;8;1.07;49.42;2473;155.18;32;4897;49.42;1.4652899489446;1;1
grafo6001.33.gml;33;40;4;0.58;89.13;2671;155.4;2;4519;89.13;1.18975059788179;1;1
grafo6111.33.gml;33;40;4;0.18;52.6;5126;7779.96;15;8529;52.6;552.530007906275;1;1
grafo9869.33.gml;33;38;4;27.45;89.78;5094;152.69;1;8310;89.78;1.04855468229652;1;1
grafo9905.33.gml;33;41;8;5.85;74.87;3095;151.65;7;5303;74.87;1.18978571428571;1;1
grafo10190.34.gml;34;45;7;0.25;49.22;1576;295405.36;5;2821;49.22;36039.5483589576;1;1
grafo10483.34.gml;34;45;7;3.98;61.96;463;176.01;10;855;61.96;2.19377094421447;1;1
grafo10511.34.gml;34;41;8;0.91;73.58;0;152.57;9;12056;73.58;1.31513217234441;1;1
grafo11166.34.gml;34;43;6;0.31;88.06;5849;151.36;6;10474;88.06;1.05180376146175;1;1
grafo11386.34.gml;34;46;7;0.33;43.54;5586;168.03;69;10548;43.54;2.99533966660692;1;1
grafo11530.34.gml;34;49;8;0;60.63;3440;153.19;14;6484;60.63;1.82762459325227;1;1
grafo11572.34.gml;34;47;8;1.09;64.96;3057;154.54;27;5786;64.96;1.74210315873651;1;1
grafo11584.34.gml;34;45;6;1.38;65.73;4965;152.15;10;8955;65.73;1.50460271317829;1;1
grafo11592.34.gml;34;39;4;0.08;88.13;4341;152.21;3;7127;88.13;1.0473266137107;1;1
grafo11604.34.gml;34;43;6;0.24;38.01;5222;5481.54;22;9200;38.01;624.123293205139;1;1
grafo11650.34.gml;34;41;5;0.58;87.75;4754;152.18;3;7984;87.75;1.09456329200164;1;1
grafo1277.34.gml;34;46;6;0.17;36.68;0;153.95;18;12598;36.68;1.37973906369916;1;1
grafo1742.34.gml;34;43;7;0;27.72;4213;155490.32;17;7438;27.72;8912.83709493282;1;1
grafo1984.34.gml;34;43;5;0.05;63.52;3041;7705.94;4;5430;63.52;241.503059388122;1;1
grafo2010.34.gml;34;41;5;0.18;69.91;3184;152.21;15;5542;69.91;1.60352387138681;1;1
grafo2031.34.gml;34;42;5;11.59;87.59;1545;166.65;1;2678;87.59;1.661062202338;1;1
grafo2091.34.gml;34;47;8;0.54;70.48;4030;152.6;14;7382;70.48;1.75350406644748;1;1
grafo2309.34.gml;34;51;8;0.65;62.48;6620;152.58;18;12832;62.48;1.82700129813933;1;1
grafo2358.34.gml;34;41;6;11.99;54.82;0;153.28;10;12196;54.82;1.58336723899422;1;1
grafo2475.34.gml;34;47;8;0.14;48.45;5126;155.37;23;9571;48.45;1.64399802404084;1;1
grafo2558.34.gml;34;46;6;1.66;62.7;4023;157.4;32;7379;62.7;1.73970588235294;1;1
grafo2631.34.gml;34;42;5;0;79.22;3120;152.45;6;5495;79.22;1.08860587996206;1;1
grafo3057.34.gml;34;46;8;8.74;63.95;4952;151.67;11;9055;63.95;1.59008707300737;1;1
grafo3095.34.gml;34;44;8;0.53;40.53;0;151.32;17;12720;40.53;1.72279929577465;1;1
grafo3102.34.gml;34;42;8;1.72;48.86;5167;158.35;22;9134;48.86;2.31427264409881;1;1
grafo3124.34.gml;34;43;6;13.72;59.92;0;153.77;16;12223;59.92;1.30431077338257;1;1
grafo3178.34.gml;34;42;8;4.19;82;0;150.87;5;12027;82;1.09130882858124;1;1
grafo3281.34.gml;34;50;8;1.24;65.7;2849;154.69;22;5618;65.7;1.75568369028007;1;1
grafo3678.34.gml;34;42;6;16.04;64.26;883;172.28;5;1522;64.26;1.77467758942331;1;1
grafo3911.34.gml;34;44;6;1.05;49.21;0;153.06;13;12818;49.21;1.51654191616766;1;1
grafo3921.34.gml;34;46;9;3.81;51.83;3937;154.86;24;7307;51.83;1.64902885460795;1;1
grafo5276.34.gml;34;44;5;0.83;51.08;3608;157.07;24;6583;51.08;1.35627500909422;1;1
grafo5321.34.gml;34;41;4;13.2;67.38;3526;153.98;9;5960;67.38;1.15441373759056;1;1
grafo5340.34.gml;34;47;7;5.15;44.54;2443;157.49;18;4629;44.54;1.54257753926288;1;1
grafo5421.34.gml;34;41;4;5.34;54.28;0;154.76;22;12322;54.28;1.38535259619511;1;1
grafo5433.34.gml;34;40;5;15.34;64.37;0;153.67;10;12060;64.37;1.38009775469681;1;1
grafo5485.34.gml;34;43;5;9.23;62.55;5383;151.76;9;9617;62.55;1.37447470817121;1;1
grafo5510.34.gml;34;44;5;0.05;87.28;6584;150.21;9;11960;87.28;1.026067144676;1;1
grafo5527.34.gml;34;47;8;1.65;78.66;3755;151.76;13;7055;78.66;1.28888233993959;1;1
grafo5556.34.gml;34;39;4;0.02;89.28;5835;150.74;4;9660;89.28;1.02002803925496;1;1
grafo5585.34.gml;34;41;4;22.28;77.96;1518;164.61;3;2893;77.96;1.38200196546399;1;1
grafo5625.34.gml;34;40;5;13.26;89.97;5925;151.5;1;10359;89.97;1.04710048102619;1;1
grafo5627.34.gml;34;44;5;0.42;83.49;0;150.55;3;12221;83.49;1.07704445664105;1;1
grafo5628.34.gml;34;41;5;3.2;85.37;0;151.46;7;11998;85.37;1.05462863293864;1;1
grafo5688.34.gml;34;44;5;0.05;83;5324;151.07;5;9151;83;1.06895385031804;1;1
grafo5693.34.gml;34;46;7;13.6;50.33;3596;154.43;11;6969;50.33;1.35392332497313;1;1
grafo5695.34.gml;34;41;5;0.39;86.86;5542;150.97;7;9458;86.86;1.05066034541145;1;1
grafo5744.34.gml;34;44;6;2.6;63.92;885;172.32;8;1565;63.92;1.52174207991317;1;1
grafo5856.34.gml;34;41;4;2.55;88.18;6158;150.62;3;10386;88.18;1.02763131549089;1;1
grafo5882.34.gml;34;40;5;20.9;88.22;4727;151.11;3;7820;88.22;1.041908098639;1;1
grafo5942.34.gml;34;46;5;0;49.73;2718;22248.52;19;4890;49.73;1345.36203107238;1;1
grafo5951.34.gml;34;43;5;2.3;79.92;6684;152.23;9;11716;79.92;1.1213319458897;1;1
grafo5990.34.gml;34;45;8;10.73;69.15;422;178.93;5;754;69.15;2.14346712211785;1;1
grafo5991.34.gml;34;41;5;2.37;73.3;6147;155.17;11;10677;73.3;1.16682718767199;1;1
grafo6100.34.gml;34;44;7;0.12;67.49;0;154.85;30;12577;67.49;1.54944084755739;1;1
grafo6118.34.gml;34;42;5;2.29;85.19;0;150.7;6;12116;85.19;1.06826339039205;1;1
grafo6156.34.gml;34;45;6;2.53;37.6;3810;161.11;41;7047;37.6;1.63744756016781;1;1
grafo6388.34.gml;34;46;6;0.6;81.22;6014;151.08;10;11029;81.22;1.08458530561844;1;1
grafo6937.34.gml;34;41;8;0.02;39.31;5398;157622.41;18;9458;39.31;9390.40685974276;1;1
grafo7659.34.gml;34;47;6;0.12;66.72;2399;154.12;16;4494;66.72;1.36063837833749;1;1
grafo9965.34.gml;34;49;8;0.01;76.42;4148;151.31;16;7848;76.42;1.17808615206707;1;1
grafo9976.34.gml;34;43;9;0.22;55.3;2920;160.16;15;5143;55.3;2.55131845841785;1;1
grafo10708.35.gml;35;46;5;0.01;59;2988;154.19;11;5387;59;1.29609253773452;1;1
grafo10752.35.gml;35;42;6;0;88.39;3008;153.66;3;5148;88.39;1.09105127158983;1;1
grafo10768.35.gml;35;49;9;10.72;49.85;2631;156.78;17;5002;49.85;2.26329283246015;1;1
grafo10770.35.gml;35;46;5;0;47.31;4357;155.95;20;7938;47.31;1.35123196907999;1;1
grafo10804.35.gml;35;46;5;0.04;58.86;3051;155.75;18;5562;58.86;1.59006357428773;1;1
grafo10841.35.gml;35;45;7;0.01;54.3;3717;156.94;23;6800;54.3;1.62327930276126;1;1
grafo10888.35.gml;35;46;5;0.05;75.06;2163;155.39;10;4035;75.06;1.40761063208152;1;1
grafo10942.35.gml;35;46;5;0.03;74.15;2348;154.52;10;4214;74.15;1.37978670102355;1;1
grafo11282.35.gml;35;44;5;0.34;57.56;4280;6299.2;17;7561;57.56;356.756059664388;1;1
grafo11318.35.gml;35;47;6;0.04;76.49;2298;154.71;11;4177;76.49;1.35018766376319;1;1
grafo11326.35.gml;35;42;8;0.9;87.97;5172;150.72;6;8788;87.97;1.0377650622686;1;1
grafo11330.35.gml;35;40;7;0.46;89.25;2206;161.41;1;3692;89.25;1.21944686265318;1;1
grafo11343.35.gml;35;44;6;8.59;71.09;0;151.33;5;12434;71.09;1.1446828868234;1;1
grafo11348.35.gml;35;46;5;0.08;56.22;2635;154.65;14;4777;56.22;1.34686983936346;1;1
grafo11464.35.gml;35;47;5;0.2;67.07;3167;5506.31;22;5860;67.07;482.79175887066;1;1
grafo11490.35.gml;35;44;8;0.08;59.27;1641;13084.22;12;2882;59.27;1028.47729077912;1;1
grafo11492.35.gml;35;48;6;1.66;43.92;4687;158.48;38;8974;43.92;1.94001061758981;1;1
grafo11523.35.gml;35;46;5;0.03;34.63;3107;154.86;19;5683;34.63;1.40265977096417;1;1
grafo11548.35.gml;35;46;5;0.07;68.34;2089;155.27;12;3768;68.34;1.46286092131364;1;1
grafo11560.35.gml;35;47;5;0.93;59.19;4268;156.25;18;7958;59.19;1.84906681092778;1;1
grafo11654.35.gml;35;46;5;0;47.35;4385;155.93;20;8124;47.35;1.35245335176227;1;1
grafo11658.35.gml;35;48;7;0.5;61.12;2017;157.2;18;3835;61.12;1.72709071307562;1;1
grafo11672.35.gml;35;47;6;0.89;61.7;2199;154.86;13;4091;61.7;1.31751851053123;1;1
grafo1231.35.gml;35;44;6;1.06;78.64;1812;158.73;7;3171;78.64;1.34131693715593;1;1
grafo1967.35.gml;35;53;7;0.21;47.31;1802;158.82;30;3687;47.31;1.71434169278997;1;1
grafo2015.35.gml;35;48;6;12.14;67.24;2408;155.71;18;4436;67.24;1.29431759402941;1;1
grafo2027.35.gml;35;46;7;0.52;46.84;0;157.55;30;12971;46.84;1.88580274214949;1;1
grafo2043.35.gml;35;45;8;0.49;63.74;4176;151.9;14;7577;63.74;1.50745691986709;1;1
grafo2195.35.gml;35;46;6;2.17;60.5;1755;159.96;21;3218;60.5;1.67679282868526;1;1
grafo2379.35.gml;35;45;8;1.09;42.61;3319;153.47;13;6095;42.61;1.32387238723872;1;1
grafo2573.35.gml;35;43;5;5.18;83.02;1699;162.91;6;3032;83.02;1.4157171466059;1;1
