Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo10672.98.gml;98;132;7;0.34;23.11;4172;178.63;242;20986;23.11;3.77005025125628;1;1
grafo10678.98.gml;98;125;7;0.18;52.1;4130;163.84;56;18651;52.1;1.62481638964051;1;1
grafo10682.98.gml;98;128;9;0.03;37.9;965;193.24;56;4694;37.9;2.75497774654486;1;1
grafo10685.98.gml;98;144;8;0.11;14.01;4420;2454.21;434;28083;14.01;2377.49436253252;1;1
grafo10689.98.gml;98;140;8;0.01;22.34;2090;169.75;149;10953;22.34;2.8115223197253;1;1
grafo10693.98.gml;98;150;9;0.06;32.04;496;202.03;170;3123;32.04;3.89376017362995;1;1
grafo10695.98.gml;98;138;8;0.65;27.91;1224;185.2;153;6513;27.91;2.86608871307129;1;1
grafo10699.98.gml;98;123;7;1;40.18;1899;175.8;73;8379;40.18;2.46281057761444;1;1
grafo10700.98.gml;98;139;10;0.21;33.01;910;190.45;113;4742;33.01;2.62134625020879;1;1
grafo10709.98.gml;98;134;6;1.37;29.8;3078;172.04;187;15424;29.8;3.29628224582701;1;1
grafo10712.98.gml;98;141;8;0.13;25.37;2370;4193.53;230;14067;25.37;2012.45798274577;1;1
grafo10718.98.gml;98;120;6;0.72;65.17;3801;170.24;31;16050;65.17;1.83743949136623;1;1
grafo10784.98.gml;98;126;7;0.76;32.61;3729;163.02;91;17904;32.61;2.24419786549212;1;1
grafo10788.98.gml;98;132;7;0.19;12.83;2033;7644.23;173;10041;12.83;1027.13486643904;1;1
grafo10790.98.gml;98;125;8;0.83;40.01;305;220.13;53;1369;40.01;3.32813813125525;1;1
grafo10792.98.gml;98;137;8;0.5;31.35;1115;183.47;108;5726;31.35;4.27623100303951;1;1
grafo10805.98.gml;98;135;8;0.9;32.77;1740;174.36;101;8919;32.77;2.58014170815779;1;1
