Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo1636.11.gml;11;20;7;3.62;45.65;1992;153.63;8;2762;45.65;1.30248799650808;1;1
grafo1683.11.gml;11;19;6;16.73;69.89;71;161.59;6;97;69.89;2.00027250431465;1;1
grafo1697.11.gml;11;17;4;0.36;89.23;4641;150.16;3;6177;89.23;1.01798537010939;1;1
grafo1876.11.gml;11;19;6;25.44;68.97;2025;150.84;4;2749;68.97;1.49019446275544;1;1
grafo1920.11.gml;11;22;8;7.55;50.21;1031;151.47;8;1485;50.21;1.80130629082159;1;1
grafo2109.11.gml;11;18;6;0.92;57.16;3286;153.71;7;4453;57.16;1.33720841881316;1;1
grafo2136.11.gml;11;17;6;0.42;75.56;3414;151.76;2;4521;75.56;1.19202488687783;1;1
grafo1722.12.gml;12;21;7;0.6;47.34;0;159.51;18;10009;47.34;1.63116321609712;1;1
grafo1750.12.gml;12;18;6;4.05;79.99;1853;151.8;3;2485;79.99;1.30593996167767;1;1
grafo1807.12.gml;12;17;6;15.68;79.36;2920;150.92;3;3893;79.36;1.20555144337528;1;1
grafo574.12.gml;12;19;7;12.63;75.81;2113;150.94;3;2894;75.81;1.17979678986894;1;1
grafo1754.13.gml;13;21;7;18.77;62.41;554;152.13;4;773;62.41;1.5556858147714;1;1
grafo192.13.gml;13;17;4;29.02;88.16;3626;150.26;2;4744;88.16;1.03583525267579;1;1
grafo2120.13.gml;13;20;6;11.94;78.68;2311;151.73;6;3232;78.68;1.20546846518411;1;1
grafo317.13.gml;13;21;5;3.54;64.42;5567;155.03;13;7799;64.42;1.61740041928721;1;1
grafo635.13.gml;13;17;4;0.06;89.44;3201;150.27;1;4170;89.44;1.01180099235618;1;1
grafo1951.14.gml;14;25;8;0.71;57.65;4579;156.11;18;6841;57.65;1.77957635741375;1;1
grafo3042.14.gml;14;18;4;24.76;89.64;2925;150.08;3;3883;89.64;1.00822852555526;1;1
grafo687.14.gml;14;22;8;11.79;79.36;3043;151.46;4;4319;79.36;1.25349806490027;1;1
grafo1013.15.gml;15;23;8;5.29;61.26;1403;152.87;4;1982;61.26;1.26040926531192;1;1
grafo1129.15.gml;15;27;6;6.28;58.89;1294;153.43;14;1943;58.89;1.92010151395817;1;1
grafo2169.15.gml;15;21;6;4.91;62.55;1409;154.33;5;1982;62.55;1.31917386846345;1;1
grafo2502.15.gml;15;20;5;0.89;77.5;2699;151.25;3;3629;77.5;1.16443361753959;1;1
grafo2752.15.gml;15;24;8;7.91;89.7;0;149.52;2;10191;89.7;1.41577447431256;1;1
grafo295.15.gml;15;21;7;2.78;77.38;3257;150.7;2;4523;77.38;1.18318211045224;1;1
grafo337.15.gml;15;23;7;4.15;49.73;1802;151.6;7;2589;49.73;1.83800986104886;1;1
grafo386.15.gml;15;24;8;13.77;78.32;1212;152.2;7;1752;78.32;1.16937321937322;1;1
grafo710.15.gml;15;21;5;25.93;65.77;4326;151.91;6;5872;65.77;1.31079003996311;1;1
grafo947.15.gml;15;24;7;1.13;77.45;1932;151.67;6;2782;77.45;1.27984550561798;1;1
grafo1144.16.gml;16;21;4;1.39;87.58;0;150.4;2;9630;87.58;1.07898741181353;1;1
grafo2211.16.gml;16;28;8;5.81;57.86;2626;157.61;20;4115;57.86;1.63684955195724;1;1
grafo2302.16.gml;16;20;4;10.72;89.25;3027;150.12;1;4094;89.25;1.01360589812332;1;1
grafo2495.16.gml;16;23;5;0.58;89.01;3382;150.2;2;4707;89.01;1.01258535279154;1;1
grafo2584.16.gml;16;22;5;17.19;62.53;1275;152.08;3;1856;62.53;1.64727893923371;1;1
grafo2646.16.gml;16;27;8;0.44;54.88;1066;156.34;14;1641;54.88;1.83908045977011;1;1
grafo2764.16.gml;16;25;8;1.22;53.07;2770;155.18;14;4077;53.07;1.24644312575963;1;1
grafo525.16.gml;16;20;4;0.06;62.19;2868;87023.53;4;3848;62.19;2422.27880049979;1;1
grafo705.16.gml;16;23;5;6.19;70.96;0;152.53;8;9921;70.96;1.34942685796705;1;1
grafo788.16.gml;16;25;5;23.42;65.07;3184;152.85;7;4689;65.07;1.47354149548069;1;1
grafo896.16.gml;16;24;5;2.41;66.4;6303;154.66;18;9334;66.4;1.73290203327172;1;1
grafo1861.17.gml;17;21;5;13.32;72.18;0;151.99;4;9491;72.18;1.26934011671405;1;1
grafo2401.17.gml;17;31;8;4.22;56.82;2071;152.97;19;3404;56.82;1.53319006685769;1;1
grafo2507.17.gml;17;26;6;2;59.42;2558;156.36;15;3838;59.42;1.39604422987074;1;1
grafo2520.17.gml;17;24;5;8.98;64.07;3456;153.91;10;4957;64.07;1.50597730906876;1;1
grafo2601.17.gml;17;28;8;7.74;63.1;3150;152.03;9;4733;63.1;1.52903173045469;1;1
grafo2688.17.gml;17;25;7;1.23;43.5;1618;158.63;15;2387;43.5;1.85544642857143;1;1
grafo2868.17.gml;17;28;8;8.14;62.21;3434;151.76;3;5148;62.21;1.24400086474022;1;1
grafo2902.17.gml;17;26;8;2.47;60.58;4856;152.13;10;7275;60.58;1.4096554956644;1;1
grafo385.17.gml;17;24;5;10.53;76.92;4330;150.74;2;6123;76.92;1.17710132412205;1;1
grafo1050.18.gml;18;28;9;0.21;49.85;4970;154.95;23;7660;49.85;2.62941919191919;1;1
grafo1086.18.gml;18;26;8;2.15;64.98;3413;152.54;11;5054;64.98;1.99249120806007;1;1
grafo1626.18.gml;18;27;6;0.56;61.23;1154;153.75;9;1712;61.23;1.44840175239331;1;1
grafo1824.18.gml;18;23;5;10.79;77.23;2755;151.84;1;3866;77.23;1.17832667047401;1;1
grafo1936.18.gml;18;27;8;0.33;88.33;3813;150.16;1;5580;88.33;1.02176403207331;1;1
grafo198.18.gml;18;26;8;8.62;63.41;4734;156.16;13;6908;63.41;1.54818533454037;1;1
grafo2408.18.gml;18;25;5;5.8;49.41;0;157.95;17;10039;49.41;2.04012932674021;1;1
grafo2674.18.gml;18;23;6;9.54;88.19;1502;151.41;2;2137;88.19;1.1388223693478;1;1
grafo2723.18.gml;18;28;5;11.95;61;2858;151.48;10;4278;61;1.5218048702849;1;1
grafo2805.18.gml;18;25;6;1.54;58.38;0;154.31;6;10153;58.38;1.41913070331197;1;1
grafo2884.18.gml;18;25;6;1.3;77.22;2266;150.58;4;3286;77.22;1.30549804462848;1;1
grafo306.18.gml;18;25;8;9.79;77.8;675;155.7;4;974;77.8;1.30826263089505;1;1
grafo449.18.gml;18;25;7;2.47;66.35;3811;151.27;8;5546;66.35;1.33858759266485;1;1
grafo1105.19.gml;19;24;5;2.14;88.23;2714;150.43;3;3845;88.23;1.03134479271992;1;1
grafo1625.19.gml;19;24;5;15.74;64.86;5123;151.93;4;7098;64.86;1.32524600015023;1;1
grafo1666.19.gml;19;28;6;27.96;88.31;304;165.35;2;454;88.31;1.50298754589302;1;1
grafo1747.19.gml;19;29;9;0.44;73.98;1837;152.5;6;2809;73.98;1.36826596146581;1;1
grafo1804.19.gml;19;30;6;3.27;61.58;0;154.25;20;10810;61.58;1.91068038765111;1;1
grafo2143.19.gml;19;27;7;6.33;65.76;2260;152.75;6;3408;65.76;1.85084871533253;1;1
grafo2375.19.gml;19;35;9;2.2;51;2998;153.75;24;5057;51;2.31306499191169;1;1
grafo2449.19.gml;19;24;6;13.15;61.4;6238;151.59;5;8904;61.4;1.333177278402;1;1
grafo2562.19.gml;19;28;8;1.52;61.56;6222;154.65;10;9433;61.56;1.72094678768464;1;1
grafo2640.19.gml;19;28;5;2.6;78.33;1944;151.43;5;2899;78.33;1.19843625570115;1;1
grafo2844.19.gml;19;30;8;0.17;63.15;1247;154.78;10;1952;63.15;1.44261781744168;1;1
grafo2878.19.gml;19;33;8;12.29;33.71;1402;156.17;24;2294;33.71;1.9160407277583;1;1
grafo2939.19.gml;19;28;6;2.88;58.12;4643;152.43;12;7033;58.12;1.46765464990425;1;1
grafo3010.19.gml;19;26;5;0.37;77.27;2368;152.81;5;3442;77.27;1.219827892753;1;1
grafo468.19.gml;19;31;7;10.77;59.12;6147;152.01;8;9685;59.12;1.43882438905578;1;1
grafo563.19.gml;19;29;8;0.85;49.85;0;160.86;31;11125;49.85;2.11834988294179;1;1
grafo703.19.gml;19;31;8;0.12;54.79;2681;11976.6;14;4250;54.79;679.488023066686;1;1
grafo1764.20.gml;20;25;5;26.51;85.55;981;157.42;1;1397;85.55;1.24496785015376;1;1
grafo1873.20.gml;20;27;7;1.3;86.9;4381;150.21;6;6551;86.9;1.03954573108903;1;1
