Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo4147.81.gml;81;107;7;0.33;33.61;1621;171.64;78;6037;33.61;3.07818659658344;1;1
grafo4176.81.gml;81;102;5;0;54;2967;163.12;61;10336;54;2.02245924384322;1;1
grafo4257.81.gml;81;107;8;3.8;49.87;1521;177.7;55;5663;49.87;1.76816433185744;1;1
grafo4321.81.gml;81;100;6;2.35;43.52;3368;167.14;43;11382;43.52;2.03280280953448;1;1
grafo4333.81.gml;81;99;5;0.77;54.89;5614;157.92;29;18751;54.89;1.38122353628267;1;1
grafo4388.81.gml;81;118;8;0.36;22.72;4722;178.14;251;21379;22.72;3.26671519184777;1;1
grafo4522.81.gml;81;94;6;0.91;44.16;2651;176.45;16;8873;44.16;1.81722044074504;1;1
grafo4534.81.gml;81;101;5;1.42;55.02;2338;172.59;26;8118;55.02;1.79461821527139;1;1
grafo4720.81.gml;81;109;7;0.65;35.63;1627;177.64;71;6349;35.63;2.01574170749337;1;1
grafo4745.81.gml;81;115;10;0.1;14.03;5561;191.33;391;26132;14.03;8.25712589073634;1;1
grafo4752.81.gml;81;109;8;0.13;5.68;2103;88556.01;123;8235;5.68;13602.0816277678;1;1
grafo4953.81.gml;81;114;7;1.94;42.78;1983;169.49;89;8815;42.78;2.27092368736735;1;1
grafo4954.81.gml;81;101;5;0.41;51.76;3389;1647.94;45;11670;51.76;295.810724570005;1;1
grafo4971.81.gml;81;101;7;0.01;60.38;872;195.03;28;2899;60.38;2.24619310231295;1;1
grafo4976.81.gml;81;103;8;0.68;22.76;4530;160.08;80;17676;22.76;2.05674255691769;1;1
grafo4997.81.gml;81;106;7;0.53;50.77;2018;171.15;48;7377;50.77;2.51761116760655;1;1
grafo5085.81.gml;81;117;8;0.39;33.17;1425;176.69;117;6335;33.17;2.73378568910821;1;1
grafo5266.81.gml;81;100;8;0.11;42.43;2023;174.31;43;6968;42.43;3.3152027027027;1;1
grafo5469.81.gml;81;98;9;4.21;31.9;1597;181.34;31;5383;31.9;3.05791862811029;1;1
grafo5532.81.gml;81;98;8;6.72;47.81;1332;189.57;17;4554;47.81;2.11610329624186;1;1
grafo5739.81.gml;81;113;6;4.22;18.04;121;225.41;82;518;18.04;2.83892013498313;1;1
grafo6184.81.gml;81;107;9;7.63;43.01;568;200.96;67;2150;43.01;2.22822387951633;1;1
grafo6187.81.gml;81;112;8;0;16.05;5095;709.43;289;22218;16.05;205.255715871254;1;1
grafo6538.81.gml;81;99;6;0.37;59.31;0;159.04;38;23205;59.31;1.44796806966618;1;1
grafo6711.81.gml;81;98;9;0.28;63.92;4033;161.53;31;13727;63.92;1.66664297896532;1;1
grafo6971.81.gml;81;108;8;0.26;43.06;3319;163.66;83;12369;43.06;2.03100837628866;1;1
grafo7464.81.gml;81;108;7;4.09;47.67;2600;166.99;53;9507;47.67;1.93938154450262;1;1
grafo7515.81.gml;81;97;6;0.07;67.43;3085;170.61;27;10201;67.43;1.55138258357408;1;1
grafo7774.81.gml;81;104;5;0.89;37.65;0;160.57;96;25227;37.65;1.86974652493868;1;1
grafo7782.81.gml;81;102;8;0.52;54.13;4956;160.47;42;18450;54.13;1.71460415065334;1;1
