graph name;iterations-rm;time-rm;cr-rm;n;m;ar-rm;asp-rm;cn-rm;tr-rm;iterations-rm-1;time-rm-1;cr-rm-1;ar-rm-1;asp-rm-1;cn-rm-1;tr-rm-1;iterations-fa;time-fa;cr-fa;ar-fa;asp-fa;cn-fa;tr-fa
grafo1380.61.graphml;1200;390;88.0718;61;72;19.6999;9.10233717266341;9;88.0718;600;189;42.7345;26.132;1.9682463455725;12;42.7345;800;783;52.7517;12.7421;1.91280827733807;18;52.7517
grafo1395.61.graphml;300;171;57.4746;61;78;3.1666;113.287407281502;46;57.4746;300;103;63.6939;5.5734;2.72647552739134;15;63.6939;300;258;66.8458;11.4048;1.76322681473437;18;66.8458
grafo1396.61.graphml;1100;468;85.3441;61;78;1.2857;85.9849391666371;11;85.3441;700;171;59.1139;1.065;2.15337463577767;10;59.1139;200;158;63.9323;19.7497;1.64816229100326;11;63.6874
grafo1466.61.graphml;1500;561;72.0793;61;78;7.7652;33.551039163688;46;72.0793;1600;566;59.4519;7.1333;2.53538475234825;26;59.4519;1000;971;43.392;15.365;2.45847095476022;32;43.3369
grafo1481.61.graphml;400;140;80.6145;61;75;4.3544;31.6813457707961;13;80.6145;1600;506;73.638;18.1936;2.0034197727343;16;73.638;100;103;35.8713;13.7416;1.84093165131906;17;35.8713
grafo1728.61.graphml;500;219;83.0493;61;71;11.1863;46.3599877340171;11;83.0493;600;145;54.5924;12.0313;3.13111183832334;9;54.5924;100;101;62.5047;8.7364;2.04886348263112;8;61.2816
grafo2666.61.graphml;700;280;87.8691;61;68;14.3633;27.4076808768313;9;87.8691;2100;555;89.1283;15.4776;2.38107195987605;8;89.1283;200;215;80.0729;30.9345;1.72569896120541;8;80.0594
grafo3257.61.graphml;1700;809;59.5622;61;82;1.7511;18.2242954132743;64;59.5622;300;133;45.8853;3.0938;3.39523697452987;35;45.8853;600;646;56.3053;14.1505;2.14112662659944;37;56.3013
grafo3342.61.graphml;800;546;57.336;61;90;0.8681;27.2460323459602;72;57.336;1900;886;50.6812;3.8506;4.16493653399204;63;50.6812;900;989;33.2014;4.5282;3.25917711241894;66;31.5314
grafo3376.61.graphml;3300;1093;58.447;61;86;5.1014;40.59878133676;72;58.447;1000;348;49.2528;6.2954;2.58723269903454;47;49.2528;700;771;36.9563;3.5295;2.28450862157828;56;36.9563
grafo3396.61.graphml;1000;593;43.8713;61;95;1.5517;108.245723865612;139;43.8713;1400;676;43.1213;5.4906;4.81057166587601;89;43.1213;1100;976;33.6136;8.2734;3.01313576080319;107;33.6136
grafo3399.61.graphml;1700;826;85.2413;61;78;5.8969;753.177689194445;25;85.2413;2100;703;64.2198;6.6254;2.4612920628665;15;64.2198;100;101;64.8891;19.5108;2.09324518203656;21;64.8886
grafo3556.61.graphml;2000;671;85.8704;61;75;2.6894;20.3627525101373;18;85.8704;800;276;59.7249;11.3808;2.13948282478289;26;59.7249;2100;1668;58.2826;13.2492;2.48349163941471;24;58.2826
grafo3564.61.graphml;700;281;82.3759;61;79;2.6913;16.4102885982722;32;82.3759;2200;760;79.8435;10.2075;2.27558171538203;20;79.8435;600;586;57.7719;18.6879;2.36638460065921;28;57.7719
grafo3581.61.graphml;300;140;59.7386;61;81;0.7326;19.8374687171312;30;59.7386;400;206;62.3365;7.1816;2.81346140560331;23;62.3365;300;302;51.1224;14.2158;1.8682868083024;30;46.0053
grafo3709.61.graphml;900;468;59.8226;61;85;3.114;82.7517407210565;62;59.8226;1300;587;58.5077;4.5543;2.46844195606878;51;58.5077;200;228;39.681;10.2292;2.01762723212054;44;39.681
grafo3787.61.graphml;1000;312;83.1408;61;73;15.1623;26.9122522778368;9;83.1408;1200;385;83.4275;15.6612;2.28021191042986;10;83.4275;200;186;60.9865;15.6518;1.72092884974174;11;60.13
grafo3853.61.graphml;900;467;72.8414;61;79;11.6383;20.3875710924317;29;72.8414;400;153;49.8968;9.5589;2.13197696494048;25;49.8968;100;83;48.0137;21.184;2.17312689499469;28;48.0137
grafo4128.61.graphml;800;390;51.7855;61;88;12.0902;59.1525051756732;91;51.7855;1000;502;43.4107;6.0847;2.5868780924201;50;43.4107;600;674;41.3284;10.4101;2.32733419587018;58;40.5875
grafo4165.61.graphml;2000;873;79.6706;61;82;10.6444;20.890244131424;14;79.6706;100;42;54.5377;9.6568;2.21599911714378;15;54.5377;0;0;52.8758;9.1216;2.41980241607561;15;52.6836
grafo4173.61.graphml;500;297;42.1529;61;96;2.7777;23.017511869285;137;42.1529;400;259;39.615;3.9516;3.60962378546391;96;39.615;200;257;19.6718;1.9249;2.78075680000242;84;15.0729
grafo4181.61.graphml;700;249;79.9826;61;78;14.2544;9.67117803202674;11;79.9826;300;126;61.4163;19.0389;2.32677545264468;15;61.4163;1100;1088;71.5957;12.4006;1.8286085191428;16;71.5957
grafo4190.61.graphml;1800;1109;68.9484;61;90;8.2712;36.1955433721416;57;68.9484;900;378;47.6698;7.3421;3.34895952544323;57;47.6698;900;1049;37.4873;8.5166;3.35194304619701;69;37.4873
grafo4191.61.graphml;500;297;68.3461;61;78;12.5752;43.5112031074226;28;68.3461;1000;406;54.801;17.4254;2.18434035248038;24;54.801;3900;4137;62.657;15.24;2.74097069842741;24;62.657
grafo4209.61.graphml;300;156;89.2961;61;79;14.3928;24.4987135937017;5;89.2961;900;304;87.7422;22.7806;1.9949904983343;5;87.7422;400;217;69.5904;12.1597;1.69470505700761;8;67.2254
grafo4239.61.graphml;700;281;86.6349;61;76;24.3102;27.8039594811269;12;86.6349;1000;349;61.9903;23.9087;2.27621002446428;15;61.9903;200;212;55.5976;23.8076;1.99689570551312;14;55.5976
grafo4240.61.graphml;800;343;67.2953;61;82;13.489;30.6159078204582;44;67.2953;1900;671;72.0071;7.015;3.12416954395266;24;72.0071;400;540;54.7327;13.4219;2.14102178474592;30;53.7531
grafo4244.61.graphml;800;390;71.5714;61;89;5.5975;29.1844523975505;38;71.5714;500;278;59.5188;4.1668;3.06521668048852;35;59.5188;600;677;50.715;4.9324;2.45163690305908;39;50.5924
grafo4251.61.graphml;1000;422;64.5107;61;90;9.4932;66.240715653499;64;64.5107;1400;622;59.9213;6.2364;3.80125745939302;37;59.9213;200;239;32.4423;9.2035;2.17857579516002;60;31.9301
grafo4261.61.graphml;1500;655;76.3426;61;90;6.009;10.7107439091685;48;76.3426;700;410;45.7286;2.3129;3.84108226245036;53;45.7286;2300;2583;41.6628;10.2775;2.94140019472846;50;41.6628
grafo4269.61.graphml;1400;483;46.7053;61;93;0.304;30.6627312116199;83;46.7053;1500;828;50.8298;5.6528;3.74671101249543;70;50.8298;700;841;42.8688;5.5586;3.46729442556906;71;42.8688
grafo4308.61.graphml;900;359;72.1514;61;80;8.5836;27.8030826328815;39;72.1514;1500;392;64.3448;11.3706;2.87106201953399;30;64.3448;200;211;34.9451;7.7315;2.32381710545754;38;23.0467
grafo4313.61.graphml;1700;812;53.2072;61;89;4.4363;64.7756075600373;86;53.2072;1100;415;53.1003;1.9315;4.76582044260978;40;53.1003;600;725;37.8072;5.8446;2.69120757449617;47;37.6909
grafo4319.61.graphml;1300;530;77.3557;61;85;3.0085;11.3343641147488;37;77.3557;1200;480;59.3504;4.4778;2.84732229135947;31;59.3504;100;118;37.7304;15.4869;2.63688617647451;36;37.5492
grafo4331.61.graphml;800;327;85.5482;61;78;17.9474;18.1349933315567;12;85.5482;1300;504;53.6645;26.6379;2.14787207053257;19;53.6645;400;412;41.9201;11.1278;2.17639053859796;25;40.6463
grafo4345.61.graphml;1700;688;54.0117;61;83;7.6189;194.854675979319;67;54.0117;400;189;37.3322;14.5009;2.89087606890439;36;37.3322;500;534;56.2468;14.5675;2.11168698085188;39;55.7472
grafo4364.61.graphml;200;140;37.5213;61;95;3.0542;70.1081380730818;141;37.5213;500;299;43.1264;6.3136;4.32574389604277;96;43.1264;200;252;25.5263;7.0078;2.82073230205144;98;25.5263
grafo4392.61.graphml;1200;561;85.0974;61;75;10.5051;27.784896640315;16;85.0974;900;315;79.7045;17.793;1.77350064712624;13;79.7045;200;200;73.5468;16.8155;1.73349124518386;14;73.5468
grafo4399.61.graphml;700;249;74.4979;61;76;6.3036;22.0291901127199;18;74.4979;1600;484;60.6792;3.2809;2.74279129031538;11;60.6792;100;107;55.8386;7.6991;1.89886435208097;13;46.1578
grafo4412.61.graphml;1700;796;83.4376;61;77;5.6266;30.3083967648023;22;83.4376;2000;647;57.2109;11.9931;2.07848193991086;18;57.2109;100;107;48.005;20.7531;2.35108557980386;18;48.005
grafo4419.61.graphml;2100;780;84.6444;61;80;26.4857;23.739395709497;23;84.6444;700;326;51.5309;12.8308;1.9059339625661;28;51.5309;300;318;56.8981;15.9092;2.01391957009004;33;56.7646
grafo4433.61.graphml;700;312;62.0087;61;79;15.3128;30.7871018354642;48;62.0087;800;370;47.1138;19.3624;3.60619857931442;31;47.1138;900;874;59.0503;21.8198;2.40016085457502;27;59.0503
grafo4441.61.graphml;1000;452;89.481;61;75;25.2532;19.4860868160244;5;89.481;500;172;78.4024;23.1002;2.16897273187452;9;78.4024;600;535;71.4673;26.6388;1.81395728046913;8;71.4483
grafo4447.61.graphml;1800;577;88.9804;61;75;14.3022;34.5928138953218;10;88.9804;2500;739;88.5246;17.5627;2.42159394960477;9;88.5246;1600;1528;76.1856;28.1955;2.02260177602584;9;76.1844
grafo4483.61.graphml;900;500;69.9937;61;79;3.5484;43.938606416203;31;69.9937;600;207;57.1691;4.7151;2.38075618239248;17;57.1691;500;484;63.5068;4.3188;2.13159103237052;24;63.5014
grafo4485.61.graphml;600;296;75.8123;61;85;16.2458;21.1440468356512;24;75.8123;900;380;63.5801;19.6277;2.97559210955528;21;63.5801;2100;1811;62.9016;20.1582;2.27424443092857;21;62.9016
grafo4491.61.graphml;2300;780;86.9237;61;79;13.9987;24.6097098591122;12;86.9237;1000;377;71.3906;20.1283;2.52903275098881;12;71.3906;1200;1220;52.7406;19.662;1.91702958784078;18;52.7406
grafo4497.61.graphml;2700;1061;57.1433;61;82;5.313;22.9415921052262;48;57.1433;1500;737;60.8744;4.0394;2.22285391810227;52;60.8744;200;227;32.9155;11.7984;2.52366455816529;61;24.2853
grafo4541.61.graphml;1100;328;68.5659;61;80;7.0551;30.8441620243595;25;68.5659;800;335;49.9933;7.8917;2.58137359373766;19;49.9933;100;101;46.1138;8.1719;2.05132469835901;21;46.1138
grafo4551.61.graphml;1500;515;85.3207;61;77;19.4894;18.7544404679024;13;85.3207;1200;275;70.8132;14.9667;2.24874067678393;9;70.8132;200;206;57.9301;11.2285;1.9703729194534;8;57.9301
grafo4598.61.graphml;1100;405;63.7495;61;79;7.955;35.0528544736088;48;63.7495;800;259;39.2753;10.3048;2.65676793145057;44;39.2753;500;538;41.8867;13.5746;2.2425305281749;44;40.3933
grafo4612.61.graphml;700;453;57.5085;61;94;3.0851;38.2240735666621;59;57.5085;500;311;59.6514;6.6832;4.71120753484052;35;59.6514;100;119;44.835;12.8288;2.50452298290402;51;44.5998
grafo4616.61.graphml;1100;374;82.1535;61;81;9.0903;63.2629098732093;18;82.1535;700;268;79.5199;9.5603;3.01032538748566;19;79.5199;1100;896;54.7179;15.8446;2.67614188215257;30;54.7179
grafo4634.61.graphml;600;281;51.9779;61;87;10.1682;14.9179834490734;82;51.9779;1200;512;54.8655;2.5705;4.16371280566552;57;54.8655;700;781;37.7121;13.534;2.86204213446321;68;37.7087
grafo4668.61.graphml;1400;748;62.8211;61;90;2.3373;28.2160475741804;59;62.8211;700;399;48.7055;7.2486;2.40549595017513;50;48.7055;2100;2291;40.7524;9.0771;2.65856992366435;50;40.5892
