Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo1106.21.gml;21;35;8;0.18;35.38;3551;164.74;59;6303;35.38;2.52052135330006;1;1
grafo137.21.gml;21;36;8;0.08;33.34;5056;31564.93;38;9060;33.34;2838.38910622931;1;1
grafo153.21.gml;21;33;8;0.44;64.91;1998;152.56;12;3191;64.91;1.31672679818838;1;1
grafo1682.21.gml;21;41;8;7.67;46.76;2588;154.24;24;4677;46.76;1.99609686862415;1;1
grafo1718.21.gml;21;29;8;2.77;79.22;1729;152.51;3;2586;79.22;1.33049165870508;1;1
grafo1749.21.gml;21;32;6;4.76;62.59;674;157.89;11;1071;62.59;1.49850793152191;1;1
grafo1779.21.gml;21;30;8;12.44;84.32;1669;151.87;4;2542;84.32;1.19219777079166;1;1
grafo1793.21.gml;21;26;5;15.12;89.37;4350;150.17;2;6224;89.37;1.00695838351398;1;1
grafo1814.21.gml;21;28;6;3.37;66.77;2330;153.77;14;3454;66.77;1.1478414336139;1;1
grafo1879.21.gml;21;30;7;12.95;71.6;2609;151.95;8;4084;71.6;1.22111217218835;1;1
grafo1910.21.gml;21;27;6;0.3;88.28;4733;150.45;3;7023;88.28;1.02835780681665;1;1
grafo1911.21.gml;21;26;6;0.31;88.12;3563;150.41;3;5222;88.12;1.0189033382491;1;1
grafo1941.21.gml;21;26;6;0.25;89.03;3400;150.26;4;5000;89.03;1.021734741942;1;1
grafo2119.21.gml;21;27;5;14.31;89.55;0;150.43;1;10237;89.55;1.02677367143243;1;1
grafo2378.21.gml;21;25;5;1.22;89.29;3992;150.17;3;5717;89.29;1.01050237474079;1;1
grafo2598.21.gml;21;28;4;0.6;40.54;3381;1194853.77;11;5039;40.54;67394.8883687142;1;1
grafo2831.21.gml;21;33;8;0.51;62.61;3221;152.47;9;5134;62.61;1.46608519585702;1;1
grafo509.21.gml;21;29;6;12.17;78.38;2037;152.38;5;3089;78.38;1.12414762741652;1;1
grafo712.21.gml;21;27;6;3.54;80.4;1943;158.27;3;2903;80.4;1.32761310452418;1;1
grafo832.21.gml;21;28;6;1.3;87.08;3277;150.69;2;4785;87.08;1.08902387934646;1;1
grafo925.21.gml;21;31;9;13.53;66.35;1890;152.72;5;2992;66.35;1.40812182741117;1;1
grafo935.21.gml;21;38;9;3.39;44.75;1430;156.56;24;2462;44.75;2.75220438616324;1;1
grafo943.21.gml;21;26;6;15.68;78.99;2855;151.99;4;4214;78.99;1.22569218535386;1;1
grafo1037.22.gml;22;30;5;12.57;80.49;3570;150.77;3;5347;80.49;1.12085729937004;1;1
grafo1052.22.gml;22;34;8;24.27;63.05;1934;153.07;12;3149;63.05;1.55495933596043;1;1
grafo1154.22.gml;22;28;6;2.62;88.05;2431;151.01;3;3626;88.05;1.03721277028401;1;1
grafo126.22.gml;22;30;8;0.08;75.24;2326;151.83;8;3556;75.24;1.28291660644602;1;1
