graph name;iterations-rm;time-rm;cr-rm;n;m;ar-rm;asp-rm;cn-rm;tr-rm;iterations-rm-1;time-rm-1;cr-rm-1;ar-rm-1;asp-rm-1;cn-rm-1;tr-rm-1;iterations-fa;time-fa;cr-fa;ar-fa;asp-fa;cn-fa;tr-fa
grafo10158.91.graphml;1200;765;57.697;91;121;0.6586;20.5183623607752;92;57.697;1400;886;58.1208;5.5772;3.61163358951449;53;58.1208;1200;2425;63.2446;9.3143;2.63293403447654;51;63.0679
grafo10239.91.graphml;1500;905;49.9291;91;123;3.4201;104.401540563549;127;49.9291;1400;944;43.8492;1.1957;3.03519068098873;88;43.8492;600;1267;44.3172;4.7959;3.52556420999004;85;44.3172
grafo10311.91.graphml;700;421;74.7074;91;112;3.0537;32.4154253188077;30;74.7074;1800;908;51.2868;11.6397;2.48392096359825;43;51.2868;200;445;54.0449;10.2682;2.22316322039793;41;54.0449
grafo10312.91.graphml;700;406;57.0781;91;116;2.6207;33.1579226943726;82;57.0781;700;376;36.2268;6.7215;3.40851097076033;36;36.2268;100;207;40.6367;3.8141;2.60544829023888;43;39.9448
grafo10317.91.graphml;4600;2074;78.6392;91;123;3.3692;45.3892625962922;73;78.6392;2100;1098;74.1346;6.6698;3.65438163987658;53;74.1346;400;617;45.1131;10.7282;2.29060449605627;60;45.1131
grafo10419.91.graphml;800;749;50.28;91;132;0.867;26.1342607334115;137;50.28;700;551;30.4754;1.8252;2.78066608280887;139;30.4754;300;709;25.939;5.7825;2.9068501461679;118;25.9244
grafo10477.91.graphml;800;529;54.343;91;108;10.7814;119.026371858202;78;54.343;1700;580;63.9094;11.3866;2.4598115376404;33;63.9094;100;197;50.3233;21.1869;2.10827044869738;42;50.3233
grafo10500.91.graphml;1500;921;57.4131;91;120;4.074;74.6755558322759;106;57.4131;1100;671;51.2314;6.1355;2.61025985880209;53;51.2314;200;412;40.8687;9.595;3.08814711921507;57;39.7565
grafo10502.91.graphml;1500;1155;39.2508;91;136;3.3761;58.0320902710673;236;39.2508;800;642;42.5457;2.8345;3.77854724169572;126;42.5457;200;465;31.7693;4.3043;2.52323755992409;142;31.7693
grafo10624.91.graphml;500;390;34.2114;91;138;5.5692;35.7172480361355;298;34.2114;1100;740;36.7734;2.0309;2.84840839284262;159;36.7734;700;1632;22.7019;3.2397;2.91145614189066;154;22.6723
grafo10639.91.graphml;600;530;49.3556;91;120;4.12;30.791680753555;74;49.3556;1600;1152;51.2145;7.104;3.20206776583403;62;51.2145;1200;1966;43.7606;7.2061;3.09242527022703;67;43.5882
grafo10789.91.graphml;2000;1357;54.0341;91;133;1.7295;36.9528631180174;174;54.0341;1200;940;41.8081;4.8973;4.18871839286695;112;41.8081;100;222;28.2074;1.8951;2.75950938233447;110;27.6894
grafo10856.91.graphml;2100;1280;57.5702;91;119;3.7517;57.3969365153729;106;57.5702;0;0;27.9118;10.3889;3.24648193748467;69;0.5075;500;1054;45.1153;1.9177;2.87296403174934;76;45.1153
grafo11134.91.graphml;1700;781;59.8515;91;116;1.327;28.9963454746727;51;59.8515;500;329;44.6752;3.717;2.66592775369177;44;44.6752;100;207;32.213;10.9777;2.66443418051473;44;31.7884
grafo11174.91.graphml;300;171;51.1629;91;117;1.3262;20.4257023470644;68;51.1629;1300;716;55.3599;0.4701;3.0205138331813;48;55.3599;200;414;45.1044;8.9422;2.45124583064943;52;45.1044
grafo11206.91.graphml;600;436;42.9503;91;126;2.224;36.2723796897837;149;42.9503;600;361;35.0399;2.4198;2.56719117329095;102;35.0399;700;1571;35.48;6.7959;2.94654128346365;112;35.4579
grafo11226.91.graphml;2000;1124;72.7035;91;117;9.7436;18.880434446551;67;72.7035;800;574;53.2944;11.0491;2.79032824814001;39;53.2944;500;792;46.0978;13.0876;2.2185874188302;42;46.0978
grafo11257.91.graphml;1800;1309;51.3422;91;129;3.8751;84.6423911356158;109;51.3422;1000;707;50.3127;5.937;5.41669282279386;90;50.3127;100;223;29.1888;9.8863;2.53530006444082;93;29.0701
grafo11300.91.graphml;800;516;46.3564;91;126;6.3049;80.669745575401;131;46.3564;500;388;48.4681;10.9043;4.66562160832844;60;48.4681;400;645;45.1614;6.2416;2.73320632025553;61;45.1614
