Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Angular Only OLD;Crossing Only;Mixed;Angular Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
11;2.71677520091314;1.47717445915622;1.16531825608323;1.28201769840376;2.74048098644291;1.44878284717145;3.3914065455109;3.51782335503019;0.345323687520233;1.79410653469168;1.10345915965121;0.854742394082603;4.37256574911279;2.66308096094759;0.900891485612692;4.2922980311236;2.49051505989821;Nodes;=11
12;2.45930249356393;1.4978052393507;1.17770365473239;1.28107804858955;2.45863297735824;1.33061285275475;4.11869246205728;4.25378222020467;0.20762555510637;1.53823840786112;1.12298729764838;1.73809703874536;5.99187925895003;2.51568518145932;1.02226259711263;5.1409550591699;3.09642986494465;Nodes;=12
13;2.76335241406303;1.54765202168206;1.2277000619044;1.35777530186534;2.79287961697027;1.28523818885494;3.8196279037876;3.85405065118152;0.285835004639038;1.57107319349397;1;0.708200955312198;4.56225160649371;3.14584969586932;0.984455979133439;4.80408388292104;2.83517192465416;Nodes;=13
14;2.62712654221431;1.53616464816452;1.22227776047666;1.33383237628832;2.63281225682418;1.34710098262309;3.2469264097194;3.13602482634564;0.394100874247782;1.74120185687087;1;0.715824604678787;3.85184943102443;2.42020022166685;0.869756254337262;4.11668266405666;2.37717015538214;Nodes;=14
15;2.9997948295772;1.62614686720215;1.29197904614317;1.40660357335771;3.04178023952561;1.38610934760411;3.84967753811534;4.21104258818583;0.271780495774977;1.65788984337909;1.11432885182913;0.983101604734641;5.19414419292047;3.22794098345119;0.825046644936252;4.67472418305159;3.02463089317909;Nodes;=15
16;2.94786319033525;1.61327397328775;1.2926800880406;1.41817947234089;2.98162553700055;221.482681965996;3.85804974719779;4.1321899742503;729.921555075599;951.404237041595;1;1.02876334000496;5.16095331425526;3.10342663424534;0.869419362728044;4.72746910992584;2.98863038446975;Nodes;=16
17;3.02367018540961;1.65790581550928;1.3082966887354;1.4403705826703;3.015011073609;1.43553195178489;3.72251414207776;3.78564959485155;0.203988105062189;1.63952005684708;1.2315438467227;0.995314940830581;4.78096453568213;2.79033465402097;0.838376462426132;4.56089060450389;2.88413767965162;Nodes;=17
18;3.05366035628836;1.65882493158582;1.35883323782372;1.4827330334747;3.07321530314104;1.53006336364104;3.76398303199892;3.76011525937172;0.444728930869237;1.97479229451028;1.0853344327718;1.21213734290294;4.97225260227466;2.54797791646878;0.969895856976574;4.7338788889755;2.79408717502235;Nodes;=18
19;3.07751490991074;1.67514461770068;1.36951088159315;1.49584665636236;3.07252535304568;41.4497845378502;4.01074212242069;3.98874355980809;164.419060551635;205.868845089485;1;1.03077052627653;5.01951408608463;2.95797303353156;0.94142843506607;4.95217055748676;3.06931368735462;Nodes;=19
20;3.05305450341499;1.68221673167149;1.36949830082638;1.50168169892471;3.07344571882402;276.399904367181;3.70341618899855;3.94195402371561;953.089305036481;1229.48920940366;1;0.841425219652106;4.78337924336771;3.1005288040635;0.936192033746623;4.63960822274517;2.76722415525192;Nodes;=20
21;2.98822257735178;1.69172023949469;1.42262475370215;1.54238868512137;3.01106362755552;3054.86987345449;3.70747688405728;3.77273851432857;14038.0751500584;17092.9450235128;1;0.756226563009286;4.52896507733785;3.01651195131928;0.725481604414746;4.43295848847202;2.98199527964253;Nodes;=21
22;3.12069255917841;1.73608287369917;1.43432349874833;1.53165320632723;3.15719839693807;1.47235696121202;3.70055363389931;3.75915006229118;0.369763601370899;1.84212056258292;1.10259335984112;1.09778129387139;4.85693135616258;2.66136876841979;0.950219295027955;4.65077292892726;2.75033433887135;Nodes;=22
23;3.06641019288323;1.68240881080637;1.46824634348589;1.57417311409546;3.12388545552554;509.792748027369;3.42972919718515;3.70774193853012;1565.34502116717;2075.13776919454;1;0.866885606985587;4.57462754551571;2.84085633154453;0.736123888547396;4.16585308573255;2.69360530863776;Nodes;=23
24;2.96936833225214;1.70659871594546;1.44092267643823;1.51821655798641;2.965574604547;1.51058116135616;3.85066016872006;3.96615496374108;0.276727756654267;1.78730891801043;1.2338534047019;0.760038539678718;4.7261935034198;3.20611642406237;0.802372684867859;4.65303285358792;3.0482874838522;Nodes;=24
25;2.92504794694352;1.6850709620082;1.46513995727497;1.55022126512108;2.95366532788764;1.53822963869882;3.73018856661646;3.81302771066511;0.467325804890846;2.00555544358967;1.07090383380798;0.711349347594252;4.52437705825936;3.10167836307086;0.765426397485424;4.49561496410189;2.96476216913104;Nodes;=25
26;3.06718777306741;1.69859826813492;1.48086806988802;1.56206899336591;3.04525027857285;1207.80361343134;3.9318372934215;4.03712139461821;4548.22319609039;5756.02680952173;1;0.894957591205729;4.93207898582394;3.14216380341248;0.810052534629077;4.74188982805058;3.12178475879243;Nodes;=26
27;3.07668779780686;1.7049546214006;1.48839193855288;1.5804053470513;3.08318674043316;154.29230756006;3.60167880684504;3.59914006860162;527.779797310545;682.072104870605;1;0.772241496409663;4.37138156501128;2.82689857219195;0.720213879581765;4.3218926864268;2.88146492726327;Nodes;=27
28;3.10746978793593;1.78533694676756;1.5399151491292;1.63014507072876;3.12863429132035;1.54928944082423;3.85874667046984;3.85765718804666;0.531395855757501;2.08068529658173;1.01789358506673;0.581218518517958;4.43887570656462;3.2764386695287;0.856279251816808;4.71502592228665;3.00246741865304;Nodes;=28
29;3.03581603346348;1.76550184501689;1.56844571893564;1.6529650929602;3.08001108500059;312.72589770176;3.54013578953492;3.65816163811209;1426.23311373953;1738.95901144129;1;0.812847330579822;4.47100896869191;2.84531430753226;0.755743971136944;4.29587976067186;2.78439181839798;Nodes;=29
30;3.35485286247754;1.7998779207505;1.62633291827379;1.67094290539592;3.36318223156646;204.350303504148;4.32340769367446;4.12910578551665;650.113379747033;854.463683251181;1;1.24780408188533;5.37690986740199;2.88130170363132;1.49012390713425;5.8135316008087;2.83328378654021;Nodes;=30
31;3.02046692601674;1.73216449716191;1.53993008328633;1.65760748310985;3.07497046873612;57.9157089210717;3.82445386877259;3.94947139499385;236.581244179967;294.496953101039;1;1.50389014874714;5.45336154374099;2.44558124624671;0.897037369857572;4.72149123863016;2.92741649891502;Nodes;=31
32;3.03030813849611;1.7601636167577;1.63297172909144;1.70378391847664;3.06574818531051;23.4106714258884;3.48222379708967;3.47751187691572;139.154340622588;162.565012048476;1;0.801545148264014;4.27905702517973;2.6759667286517;0.824253628791366;4.30647742588104;2.65797016829831;Nodes;=32
33;3.17807844213303;1.79927933963272;1.63511593142562;1.72881712095689;3.18939597189422;375.636312956365;3.7972953766845;3.85480178703064;1359.24003337826;1734.87634633462;1;0.958272827874528;4.81307461490517;2.89652895915611;0.963241636236659;4.76053701292116;2.83405374044785;Nodes;=33
34;3.18734812263239;1.80097814624546;1.61698488328324;1.7100158814049;3.21300925765744;913.476892777016;3.61851939979612;3.63347342663239;4819.683261694;5733.16015447102;1;0.922357667679712;4.5558310943121;2.71111575895268;0.952755338311735;4.57127473810785;2.66576406148438;Nodes;=34
35;3.31250400520441;1.86897285604076;1.69748482662071;1.79001133599221;3.38037061000561;418.22202167234;3.70617853624674;3.82601540225406;2520.54325316849;2938.76527484083;1;1.01690674790664;4.8429221501607;2.80910865434742;0.930366533054155;4.6365450693009;2.77581200319258;Nodes;=35
36;3.51889672055523;1.89851297745625;1.71789609996959;1.82221237950799;3.54371850354479;591.986459224743;3.70455130547903;3.72824692277931;4768.48196186532;5360.46842109007;1;0.979264909143652;4.70751183192296;2.74898201363566;0.839631836666943;4.54418314214597;2.86491946881209;Nodes;=36
37;3.74160934497941;1.92839628338318;1.75566809129724;1.87563936103472;3.63131143170425;480.414751923506;4.03492396189963;3.8101026159002;2388.76768783219;2869.1824397557;1;1.12704883968929;4.93715145558949;2.6830537762109;2.93589837868957;6.9708223405892;1.09902558321005;Nodes;=37
38;3.68468366582671;1.95054079358281;1.78882674379134;1.91136130649922;3.65465396327807;325.758945641981;3.890696514259;3.85310534303475;1861.97890494101;2187.73785058299;1;0.895294070379523;4.74839941341427;2.95781127265523;0.903588507672319;4.79428502193132;2.98710800658668;Nodes;=38
39;3.946515501054;2.01417383427748;1.82809502666483;1.9480226035451;3.96776979527344;860.79005468179;4.16363615167063;4.15775421519522;7021.40035320803;7882.19040788982;1;1.30143160182497;5.4591858170202;2.85632261337025;1.20639273437347;5.3700288860441;2.95724341729716;Nodes;=39
40;3.90999607623951;1.98729667414479;1.86128372652529;1.97093216652333;3.90823567699785;302.053525348788;4.06889640562076;4.06454790533057;1558.96981188701;1861.0233372358;1;1.05162149043367;5.11616939576425;3.0129264148969;1.02900584667518;5.09790225229594;3.03989055894558;Nodes;=40
41;3.93643429483195;2.01035357781901;1.89103017024709;2.00591383099016;3.94332106827631;185.003795996856;4.10049910417304;4.11511007878258;1240.60397705581;1425.60777305267;1;1.11604967513333;5.23115975391591;2.99906040364924;1.02602245480231;5.12652155897536;3.07447664937073;Nodes;=41
