graph name;iterations;time[ms];crossing_res;n;m;ang,res;aspect, Ratio;#crossing;
graph_1077.txt;100;46;60,733;38;57;17,95336382889838;2,0027731367512542;16;
graph_1078.txt;200;103;53,2175;38;57;11,231477426377243;2,0631162675161594;18;
graph_1079.txt;200;71;56,9821;30;45;21,977640631655294;1,6678260964088332;9;
graph_108.txt;100;27;68,0375;26;39;33,31705547354193;1,7926887231773663;11;
graph_1080.txt;100;34;68,3678;30;45;29,71907093571132;1,8157737511185115;13;
graph_1081.txt;400;76;73,7652;20;30;31,372473721859155;2,076811812331553;4;
graph_1082.txt;200;91;51,1889;38;57;16,758271996067037;2,134750596619559;20;
graph_1083.txt;400;186;52,8679;38;57;21,886066948290782;2,7746612634609193;16;
graph_1084.txt;200;75;67,1196;32;48;19,511396170285916;1,8639954885831511;10;
graph_1085.txt;100;36;70,2256;34;51;26,414029507372774;2,13617058442924;14;
graph_1086.txt;100;38;67,0666;34;51;28,96357041278735;1,7362932881797573;17;
graph_1087.txt;200;80;72,6079;34;51;25,498392275337245;1,9993412520830482;11;
graph_1088.txt;500;117;49,8079;22;33;13,634659143485356;2,0645396575980364;21;
graph_1089.txt;100;38;63,1297;34;51;27,482112845163535;2,074870040422169;11;
graph_109.txt;100;18;71,1002;20;30;38,57778987118152;2,816161622172915;3;
graph_1090.txt;600;237;51,601;34;51;23,729834787333253;1,719434177894161;24;
graph_1091.txt;300;109;74,7999;34;51;20,957158783825996;2,018106682720288;11;
graph_1092.txt;100;32;42,1205;26;39;24,37089798863301;2,5118963854916947;26;
graph_1094.txt;200;82;57,0676;34;51;12,676997344752051;1,9424080425922092;28;
graph_1095.txt;100;27;54,9626;26;39;22,95914307178835;1,7867821864334397;10;
graph_1097.txt;100;39;64,6345;34;51;26,799976908453488;2,3912360552796623;17;
graph_1098.txt;100;49;60,5648;34;51;16,59221347590191;2,3923428897662102;20;
graph_1099.txt;100;29;67,8739;26;39;29,46001408452768;1,7248824199964874;9;
graph_11.txt;100;34;70,5364;28;42;28,491052101632974;1,9494087688406434;14;
graph_110.txt;200;92;52,103;36;54;10,069453297780315;2,3213075670372807;27;
graph_1100.txt;100;38;70,5868;34;51;23,90297530520206;2,362001119745253;13;
graph_1101.txt;200;110;66,5602;34;51;28,4102632072506;2,16048364988185;12;
graph_1102.txt;100;43;73,5141;34;51;20,113439469950798;2,5604220387714745;15;
graph_1103.txt;900;229;52,3987;20;30;24,30621551535813;1,9763095356877556;11;
graph_1104.txt;100;30;69,1704;28;42;42,69801761932;2,824712895163696;5;
graph_1105.txt;1000;410;56,2633;34;51;25,424536915445927;2,295612008744695;15;
graph_1106.txt;200;79;66,1354;34;51;10,351096812770722;1,998201465196643;12;
graph_1107.txt;100;42;68,2902;34;51;15,920047535327864;2,450223034704283;14;
graph_1109.txt;100;25;68,415;24;36;24,884176373826232;3,0009112155998303;9;
graph_1110.txt;100;49;61,4487;34;51;23,22333763639958;2,5014470952640657;19;
graph_1112.txt;100;49;59,2935;38;57;12,690515810618352;2,0868796602226296;23;
graph_1113.txt;100;51;62,1421;34;51;21,781460850271028;2,353663003048323;19;
graph_1114.txt;300;131;78,643;30;45;33,3367122702211;2,192214883230642;9;
graph_1115.txt;200;83;73,5955;32;48;23,02762889487661;1,8378056243420902;10;
graph_1118.txt;500;187;67,666;32;48;29,359679572368762;2,1253236106160185;15;
graph_1120.txt;100;42;74,2012;30;45;23,228008385943387;2,179262174664402;4;
graph_1121.txt;100;32;70,9158;28;42;31,787519349419867;2,3895652741578823;10;
graph_1122.txt;100;29;66,714;28;42;27,71707959004972;2,513877028927624;9;
graph_1123.txt;100;37;58,5151;34;51;13,622819562772712;2,323612238411342;18;
graph_1124.txt;100;44;67,2376;34;51;23,14612865573049;2,4838196429605057;12;
graph_1125.txt;100;39;61,8902;34;51;22,2365559804481;2,3894828936483017;16;
graph_1126.txt;100;40;62,9613;34;51;26,414574989487903;2,1778137454841793;12;
graph_1129.txt;200;89;59,6935;32;48;12,692158963720946;2,2186882136562285;18;
graph_113.txt;100;38;60,8827;34;51;14,601197581140877;2,567645261906578;14;
graph_1131.txt;100;36;57,1456;32;48;35,76709725696739;1,7277424390706635;12;
graph_1132.txt;100;36;52,435;32;48;28,008447449268942;1,9421504362734174;13;
graph_1133.txt;100;21;66,6087;20;30;30,18659661386736;1,8506669381722187;10;
graph_1134.txt;100;47;55,3247;38;57;23,76687052513704;2,2093208295287736;24;
graph_1135.txt;300;137;55,7044;38;57;13,391378169074247;2,502202850557921;21;
graph_1136.txt;100;42;76,9413;34;51;21,74957238690923;1,97274710476086;13;
graph_1138.txt;200;79;55,5598;32;48;13,333990991381407;2,1191338135859996;8;
graph_1139.txt;200;69;66,3859;32;48;34,61830483148387;1,7788145637778425;13;
graph_1140.txt;100;30;72,4097;26;39;28,635548570680808;2,850982696468355;6;
graph_1141.txt;0;0;67,9038;28;42;3,026817978030774;1,8163549485563937;6;
graph_1142.txt;600;210;62,4804;30;45;37,70389371903049;2,4340853311795794;10;
graph_1143.txt;500;246;64,8933;34;51;24,532932649707377;1,7761969369692225;13;
graph_1144.txt;300;105;61,6051;30;45;27,080966614996484;2,0350956291031945;16;
graph_1145.txt;1200;343;48,6136;26;39;23,70450228681041;2,36908746798629;11;
graph_1146.txt;200;101;56,9632;34;51;26,775335545602953;2,209521485055957;11;
graph_1147.txt;100;34;36,6241;30;45;25,44297698400797;2,2020711025280892;21;
graph_1148.txt;100;46;53,7192;38;57;14,155053448213998;2,258897197443449;18;
graph_1149.txt;200;64;54,3848;28;42;28,818172944988326;1,6130434100668145;16;
graph_115.txt;1900;538;65,9506;26;39;29,776149349300358;2,26551349543577;9;
graph_1150.txt;100;55;50,2121;38;57;15,999189969575248;2,1156299005729107;16;
graph_1151.txt;100;38;59,3066;34;51;15,791554395814346;1,9493399564470122;14;
graph_1152.txt;300;123;63,7472;34;51;32,30684915200064;1,8740647317554049;13;
graph_1153.txt;200;76;65,2872;34;51;28,10990871529415;1,89491499562791;11;
graph_1155.txt;200;84;60,1761;34;51;13,638727562171384;1,7598913219428247;14;
graph_1156.txt;100;40;59,4305;34;51;18,36568385999206;2,2408842508934446;26;
graph_1158.txt;100;50;61,0773;34;51;18,646218058983507;2,126675966999061;16;
graph_1159.txt;100;50;51,0214;38;57;13,447133144173105;1,9790936090254194;19;
graph_1160.txt;400;147;69,4229;32;48;34,3448142589065;2,1705388041003997;13;
graph_1161.txt;100;49;59,2091;38;57;22,799691122087683;1,8981485579989141;28;
graph_1163.txt;100;88;65,3644;34;51;24,96423140859166;2,3436604065174764;13;
graph_1164.txt;300;160;55,8572;34;51;26,91034779485839;2,0159373704857706;25;
graph_1165.txt;100;41;69,3099;30;45;33,59268553324946;2,151762854952326;10;
graph_1166.txt;200;106;59,1098;38;57;13,823697064338878;2,1743332557462804;21;
graph_1167.txt;300;166;57,9793;38;57;14,0207615884554;1,938314876601003;22;
graph_1168.txt;100;31;72,73;28;42;24,34514517277393;2,551613275155878;5;
graph_1169.txt;100;30;65,7566;26;39;33,226381930538274;1,9493215943895894;13;
graph_117.txt;100;41;54,8696;34;51;24,388660397789508;2,4727888847880997;14;
graph_1170.txt;100;39;59,3747;32;48;6,40055992690668;1,801121629808689;13;
graph_1171.txt;0;0;58,2192;32;48;17,616493361233392;2,5223142083248153;10;
graph_1172.txt;100;49;69,3813;34;51;26,81178038900759;2,427970556951367;13;
graph_1173.txt;300;143;57,324;34;51;27,758771367247515;1,8145497546272427;13;
graph_1174.txt;900;376;76,995;34;51;33,545021580581384;2,3334057394011425;8;
graph_1177.txt;200;93;56,5497;38;57;19,60902258515139;1,9046424528969819;19;
graph_1178.txt;100;42;60,5334;32;48;27,94807783728855;2,1564319382880677;12;
graph_1179.txt;200;95;60,8443;38;57;23,378011108786122;1,9565008348245108;24;
graph_118.txt;200;90;63,8696;34;51;16,144333169374846;2,6289205841559453;11;
graph_1180.txt;100;38;60,4533;32;48;29,370334087483773;1,6181182895833663;21;
graph_1181.txt;100;39;45,6519;30;45;15,39441322845058;2,12377462722533;17;
graph_1182.txt;300;132;57,5182;32;48;24,229090510345;1,8220057540313608;16;
graph_1185.txt;200;77;63,7692;34;51;34,11251521546314;2,0411091580120666;12;
graph_1186.txt;100;55;47,1312;34;51;14,864603341393906;2,0307684901646175;26;
graph_1187.txt;500;150;61,9115;26;39;33,455040020864985;1,774297606898596;11;
graph_1188.txt;300;144;58,0192;36;54;15,724373012804904;1,8212735020860384;23;
graph_1189.txt;100;33;68,8649;26;39;20,404303778628805;1,839132013765372;13;
graph_1190.txt;300;118;73,5425;34;51;34,83184065751386;2,0381466384750557;10;
graph_1193.txt;100;37;64,8197;34;51;25,095452740739677;2,2322868991288924;12;
graph_1194.txt;1600;636;69,1907;32;48;42,03409712616063;2,0096172958233627;8;
graph_1195.txt;100;45;62,9625;34;51;16,48687961335816;2,042063726820009;14;
graph_1196.txt;100;45;66,9678;34;51;6,05574495993922;2,1260651425853268;15;
graph_1197.txt;100;36;73,7268;30;45;19,454849979937904;1,7440450767974145;11;
graph_1198.txt;100;43;63,617;34;51;22,369730879291456;2,119497672417176;16;
graph_1199.txt;200;88;59,4338;36;54;24,118403344583708;1,8653311141702693;24;
graph_12.txt;100;32;76,429;30;45;37,58482108017542;1,7435910522205245;15;
graph_120.txt;900;167;71,0603;20;30;33,9336034656645;2,156713543744188;5;
graph_1200.txt;300;139;63,138;34;51;34,168475391633855;1,7025315084222676;13;
graph_1201.txt;200;74;68,444;34;51;30,096096226192913;2,1144663609498813;14;
graph_1202.txt;200;39;72,8764;20;30;28,494636549588733;1,805161412348623;6;
graph_1203.txt;100;37;59,3108;32;48;23,616709378833132;1,9073360927934195;16;
graph_1204.txt;100;42;58,9171;34;51;16,77706460241838;2,636432076327903;16;
graph_1205.txt;300;174;57,1096;34;51;27,336931695717663;2,3278869424279494;24;
graph_1206.txt;200;99;53,9107;38;57;13,03055481989726;2,3436368302693076;28;
graph_1207.txt;100;40;57,7095;32;48;16,551562344850087;2,853344795152723;16;
graph_1208.txt;200;83;72,4315;34;51;25,36186841610357;2,078936778371375;10;
graph_1209.txt;100;39;64,1749;30;45;30,91557313002072;2,2337629746325907;12;
graph_121.txt;100;44;70,9491;30;45;23,769895878850207;2,2745508957164566;15;
graph_1210.txt;100;53;49,1271;36;54;11,174619007693522;1,9927994862423646;24;
graph_1211.txt;100;36;67,8568;30;45;19,12989731414439;1,9787441368023289;9;
graph_1212.txt;200;41;75,2155;20;30;36,11644505550367;2,013343732860141;5;
graph_1213.txt;200;77;66,7961;32;48;24,983306332725856;2,0925723237752227;10;
graph_1214.txt;100;47;55,1524;30;45;22,943516675381904;2,003056399840774;14;
graph_1215.txt;600;256;54,9257;34;51;21,89047758671386;2,3165748865234397;24;
graph_1216.txt;300;151;56,5734;32;48;17,769188489047142;1,9032468275389651;12;
graph_1217.txt;400;120;57,0855;28;42;22,85191943654971;2,0292247526899314;11;
graph_1218.txt;300;86;50,2993;26;39;22,108703110913794;1,8960739656376657;14;
graph_1220.txt;100;51;55,9395;32;48;21,26595616564213;1,8308572739551856;11;
graph_1221.txt;500;228;69,2786;36;54;13,06698267942442;1,9305144561301124;13;
graph_1222.txt;100;43;59,2422;34;51;18,14327434264996;2,2488056818109095;17;
graph_1224.txt;3700;1254;66,5552;30;45;19,141500133191364;1,9278393418379354;12;
graph_1225.txt;100;36;59,3085;34;51;11,764598699054515;2,275635746816256;13;
graph_1226.txt;10600;4188;68,6033;34;51;32,68112750115164;2,3352526512071825;13;
graph_1227.txt;100;27;66,0665;26;39;37,16020085894007;1,8286011251475884;8;
graph_1229.txt;700;171;64,1541;20;30;28,904044261764415;1,6460535830284204;9;
graph_123.txt;0;0;51,3032;26;39;11,96752348123562;2,232973607600087;17;
graph_1230.txt;100;28;65,9666;20;30;31,658509226461852;1,8092714948825885;8;
graph_1231.txt;300;125;57,1682;34;51;26,443852469632183;2,231739579764332;18;
graph_1232.txt;600;299;43,7431;38;57;21,227390294013603;2,3827759337822982;22;
graph_1233.txt;100;49;53,4465;38;57;24,052258750770886;2,1884869242268294;21;
graph_1234.txt;100;21;64,5988;20;30;35,08922156339525;1,924876214477658;7;
graph_1235.txt;100;31;60,5115;28;42;21,83664865779342;2,084053214107502;13;
graph_1236.txt;100;42;67,9575;32;48;34,36713307767613;2,206730062518691;13;
graph_1237.txt;100;21;59,094;20;30;23,88914467502793;1,971371454754111;13;
graph_1238.txt;100;19;69,4215;20;30;29,966107655734024;1,8557445227321752;6;
graph_1239.txt;200;74;60,2107;32;48;35,86692432314845;1,6779379115715796;15;
